name,year,team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG,SLG,OBP,OPS,SBPER
김용의,2014,LG,183,31,44,7,1,0,22,9,7,19,2,46,2,0.24,0.29,0.317,0.607,0.563
김용호,2011,한화,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA
김원섭,2010,KIA,353,43,84,16,3,5,28,15,6,56,2,63,5,0.238,0.343,0.345,0.688,0.714
김원섭,2011,KIA,269,36,73,18,2,2,30,1,3,32,0,28,4,0.271,0.375,0.343,0.718,0.25
김원섭,2012,KIA,386,60,117,21,4,3,61,8,4,69,2,54,12,0.303,0.402,0.409,0.811,0.667
김원섭,2013,KIA,96,12,18,8,0,1,12,1,0,23,0,20,0,0.188,0.302,0.345,0.647,1
김원섭,2014,KIA,80,21,18,4,1,0,13,3,1,17,0,13,2,0.225,0.3,0.354,0.654,0.75
김응민,2014,두산,10,0,2,0,0,0,3,0,0,0,2,1,0,0.2,0.2,0.333,0.533,NA
김일경,2010,넥센,195,30,49,13,1,4,21,21,6,8,4,42,2,0.251,0.39,0.293,0.683,0.778
김일경,2011,넥센,47,11,12,0,0,0,0,9,7,1,0,13,1,0.255,0.255,0.271,0.526,0.563
김일경,2012,LG,82,10,18,2,0,1,12,4,1,9,0,18,2,0.22,0.28,0.297,0.577,0.8
김재민,2013,LG,8,0,1,0,0,0,0,0,0,0,0,3,1,0.125,0.125,0.125,0.25,NA
김재민,2014,LG,16,0,1,0,0,0,0,0,0,2,0,4,1,0.063,0.063,0.167,0.23,NA
김재우,2010,한화,5,3,1,0,0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,NA
김재율,2011,LG,24,2,6,2,0,0,4,0,0,4,0,7,2,0.25,0.333,0.357,0.69,NA
김재율,2012,LG,36,3,3,0,0,1,5,0,0,4,0,10,1,0.083,0.167,0.171,0.338,NA
김재현,2010,SK,267,41,77,17,0,10,48,7,5,52,2,42,10,0.288,0.464,0.404,0.868,0.583
김재현,2012,SK,89,22,19,4,0,0,5,12,5,0,0,18,2,0.213,0.258,0.213,0.471,0.706
김재현,2013,SK,36,12,10,2,1,0,6,11,2,4,0,8,1,0.278,0.389,0.341,0.73,0.846
김재현,2014,SK,25,12,5,1,0,0,6,8,1,0,2,10,0,0.2,0.24,0.25,0.49,0.889
김재현,2014,삼성,7,0,1,0,0,0,1,0,0,0,1,4,1,0.143,0.143,0.25,0.393,NA
김재호,2010,두산,85,11,19,3,1,0,8,5,1,14,1,15,3,0.224,0.282,0.34,0.622,0.833
김재호,2011,두산,109,6,20,5,1,0,9,1,1,7,2,15,4,0.183,0.248,0.242,0.49,0.5
김재호,2012,두산,177,23,38,2,2,0,11,3,3,16,2,31,5,0.215,0.249,0.287,0.536,0.5
김재호,2013,두산,248,42,78,10,3,1,32,9,6,26,0,24,7,0.315,0.391,0.377,0.768,0.6
김재호,2014,두산,341,50,86,14,1,3,54,2,8,54,2,59,14,0.252,0.326,0.348,0.674,0.2
김재환,2011,두산,54,4,10,3,0,2,8,1,1,1,1,14,2,0.185,0.352,0.214,0.566,0.5
김재환,2012,두산,39,7,5,1,0,1,1,0,0,4,0,9,0,0.128,0.231,0.209,0.44,NA
김재환,2014,두산,85,12,26,6,0,3,13,1,0,11,0,12,3,0.306,0.482,0.385,0.867,1
김정남,2011,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
김정혁,2011,삼성,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
김정혁,2014,삼성,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
김정훈,2011,SK,2,0,1,0,0,0,1,0,0,0,0,1,0,0.5,0.5,0.5,1,NA
김정훈,2013,SK,3,2,2,0,0,0,0,0,0,0,0,1,0,0.667,0.667,0.667,1.334,NA
김정훈,2014,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
김종찬,2013,NC,7,0,1,0,0,0,0,0,0,0,0,3,0,0.143,0.143,0.143,0.286,NA
김종호,2011,삼성,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
김종호,2012,삼성,12,3,3,0,0,0,0,1,0,1,1,3,0,0.25,0.25,0.357,0.607,1
김종호,2013,NC,465,72,129,12,7,0,22,50,14,57,17,100,11,0.277,0.333,0.376,0.709,0.781
김종호,2014,NC,317,58,83,11,4,2,25,22,7,19,6,55,4,0.262,0.341,0.316,0.657,0.759
김주찬,2010,롯데,485,89,134,18,4,9,40,65,19,31,5,65,5,0.276,0.386,0.324,0.71,0.774
김주찬,2011,롯데,321,58,100,12,3,6,40,25,10,27,7,38,4,0.312,0.424,0.373,0.797,0.714
김주찬,2012,롯데,435,62,128,27,3,5,39,32,13,30,7,48,7,0.294,0.405,0.346,0.751,0.711
김주찬,2013,KIA,168,24,51,9,4,0,28,23,3,15,4,18,4,0.304,0.405,0.372,0.777,0.885
김주찬,2014,KIA,399,72,138,32,4,9,46,22,10,31,4,48,11,0.346,0.514,0.397,0.911,0.688
김주현,2014,롯데,12,2,2,1,0,0,1,0,0,0,0,4,0,0.167,0.25,0.167,0.417,NA
김주형,2011,KIA,271,23,54,14,0,9,40,1,0,17,4,71,6,0.199,0.351,0.256,0.607,1
김주형,2012,KIA,117,8,18,2,0,3,12,0,0,6,1,35,0,0.154,0.248,0.198,0.446,NA
김주형,2013,KIA,249,27,60,8,0,9,34,1,0,23,3,54,7,0.241,0.382,0.308,0.69,1
김주형,2014,KIA,151,16,37,4,0,7,26,0,3,17,2,19,3,0.245,0.411,0.326,0.737,0
김준완,2013,NC,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA
김준완,2014,NC,4,1,2,0,0,0,0,1,0,1,0,1,0,0.5,0.5,0.6,1.1,1
김준태,2013,롯데,6,0,2,0,0,0,1,0,0,0,0,2,0,0.333,0.333,0.333,0.666,NA
김준호,2010,LG,45,4,10,1,1,0,3,0,0,2,0,14,1,0.222,0.289,0.255,0.544,NA
김준호,2011,한화,6,0,1,0,0,0,0,0,0,0,0,2,1,0.167,0.167,0.167,0.334,NA
김지수,2010,넥센,5,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0.167,0.167,NA
김지수,2013,넥센,48,9,13,2,0,0,3,1,0,7,0,9,1,0.271,0.313,0.357,0.67,1
김지수,2014,넥센,23,2,4,0,0,0,3,1,0,4,0,2,1,0.174,0.174,0.296,0.47,1
김진형,2014,두산,38,5,9,1,0,0,5,0,0,3,0,7,0,0.237,0.263,0.293,0.556,NA
김태군,2010,LG,51,2,13,1,0,0,6,0,0,2,1,9,1,0.255,0.275,0.296,0.571,NA
김태군,2011,LG,47,4,11,0,0,0,1,0,0,4,0,4,2,0.234,0.234,0.294,0.528,NA
김태군,2012,LG,149,7,30,2,0,0,14,0,0,8,5,24,6,0.201,0.215,0.265,0.48,NA
김태군,2013,NC,277,21,59,5,0,4,28,0,2,19,7,57,10,0.213,0.274,0.28,0.554,0
김태군,2014,NC,294,28,77,13,0,0,23,0,1,12,4,47,9,0.262,0.306,0.297,0.603,0
김태균,2012,한화,416,61,151,24,0,16,80,3,1,81,11,69,11,0.363,0.536,0.474,1.01,0.75
김태균,2013,한화,345,41,110,24,0,10,52,0,3,73,8,67,14,0.319,0.475,0.444,0.919,0
김태균,2014,한화,422,66,154,30,0,18,84,0,2,70,11,73,18,0.365,0.564,0.463,1.027,0
김태완,2010,LG,142,21,36,11,0,4,19,0,2,13,2,34,1,0.254,0.415,0.321,0.736,0
김태완,2010,한화,370,62,98,13,0,15,62,7,6,86,13,99,9,0.265,0.422,0.418,0.84,0.538
김태완,2011,LG,202,26,51,12,0,6,29,4,1,31,2,37,7,0.252,0.401,0.356,0.757,0.8
김태완,2012,LG,141,16,31,5,0,2,14,0,1,17,2,21,4,0.22,0.298,0.311,0.609,0
김태완,2013,삼성,162,19,44,10,0,6,19,1,1,22,2,31,5,0.272,0.444,0.36,0.804,0.5
김태완,2013,한화,279,24,64,13,0,3,23,1,2,33,7,78,8,0.229,0.308,0.324,0.632,0.333
김태완,2014,삼성,95,14,33,7,0,2,15,0,0,8,4,17,4,0.347,0.484,0.421,0.905,NA
김태완,2014,한화,186,26,48,8,0,7,39,0,0,24,3,51,10,0.258,0.414,0.35,0.764,NA
김태우,2013,NC,13,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0.071,0.071,NA
김태우,2014,NC,5,0,1,1,0,0,0,0,0,0,0,3,0,0.2,0.4,0.2,0.6,NA
김태훈,2011,KIA,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,NA
김하성,2014,넥센,48,17,9,2,1,2,7,4,3,8,0,13,2,0.188,0.396,0.298,0.694,0.571
김헌곤,2011,삼성,12,0,1,0,0,0,0,0,0,0,0,6,0,0.083,0.083,0.083,0.166,NA
김헌곤,2012,삼성,18,1,2,1,0,0,3,0,0,0,0,3,0,0.111,0.167,0.111,0.278,NA
김헌곤,2013,삼성,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
김헌곤,2014,삼성,123,17,32,5,3,3,20,2,2,13,6,20,1,0.26,0.423,0.359,0.782,0.5
김현수,2010,두산,473,88,150,29,0,24,89,4,8,78,6,64,9,0.317,0.531,0.414,0.945,0.333
