,Team,G,ERA,CG,SHO,W,L,SV,IP,PIT,BF,AB,HA,HRA,SH,SF,BBA,IBBA,HB,K,WP,BK,AR,ER
1987,SAM,108,3.58,26,12,64,44,30,959,14804,4078,3514,926,62,82,20,416,19,45,360,16,5,427,381
1987,LOT,108,3.36,51,14,54,49,9,975.66,15106,4097,3642,971,40,68,20,331,10,34,504,19,1,404,364
1987,OB,108,3.26,38,10,55,52,21,960.66,14913,4064,3532,906,38,73,20,407,6,32,382,19,4,405,348
1987,MBC,108,3.36,20,9,50,51,26,971.66,14961,4118,3645,966,48,65,23,335,14,50,372,11,3,407,363
1987,BIN,108,3.78,51,7,47,57,7,955.33,14398,4020,3594,970,75,75,31,281,7,37,364,11,9,454,401
1987,CHE,108,4.36,42,5,41,65,9,956,14845,4140,3656,1063,69,82,37,327,28,36,328,20,3,524,463
1987,Total,378,3.55,254,72,366,366,116,6760.33,104100,28567,25125,6666,384,521,179,2469,95,266,2804,108,28,3022,2665
1988,HAE,108,2.86,26,11,68,38,23,968.66,14138,3981,3553,849,58,76,18,297,7,37,501,13,3,364,308
1988,BIN,108,3.72,27,14,62,45,28,972,14804,4091,3647,1015,72,82,25,298,18,39,394,12,5,441,402
1988,LOT,108,3.63,30,9,57,49,18,969.33,14842,4103,3636,968,56,70,31,330,8,32,477,17,8,449,391
1988,SAM,108,4.18,22,12,56,50,21,967,14995,4151,3600,953,80,76,31,403,21,40,341,23,5,492,449
1988,OB,108,3.73,17,13,54,52,19,969.33,15100,4105,3574,933,69,88,27,381,13,35,388,16,4,447,402
1988,MBC,108,3.96,36,4,40,64,14,961.33,15227,4188,3650,1038,69,86,32,373,15,46,347,9,6,491,423
1988,TPY,108,4.57,20,5,34,73,11,942,14450,4036,3595,1013,78,69,29,304,11,37,386,18,5,538,478
1988,Total,378,3.8,178,68,371,371,134,6749.66,103556,28655,25255,6769,482,547,193,2386,93,266,2834,108,36,3222,2853
1989,HAE,120,3.34,30,14,65,51,20,1078.66,16918,4479,3938,928,63,72,32,400,11,37,694,16,6,442,400
1989,BIN,120,3.47,26,9,71,46,26,1076.66,17105,4539,3957,982,75,64,41,433,24,43,536,11,6,476,415
1989,TPY,120,3.03,34,8,62,54,19,1091.66,17153,4511,3925,952,49,74,32,440,27,40,589,25,6,440,368
1989,SAM,120,4.42,26,8,57,58,27,1068,17613,4688,4016,1094,84,83,29,516,23,44,469,19,11,588,524
1989,OB,120,3.7,18,10,54,63,20,1072.33,17541,4551,3866,969,60,91,35,527,15,32,543,32,8,481,441
1989,MBC,120,4.27,8,2,49,67,30,1069.66,17388,4693,4079,1139,61,67,45,455,11,46,451,24,5,581,508
1989,LOT,120,3.91,36,7,48,67,11,1076,16549,4569,3999,1072,68,90,40,390,28,50,508,19,5,522,467
1989,Total,420,3.73,178,58,406,406,153,7533,120267,32030,27780,7136,460,541,254,3161,139,292,3790,146,47,3530,3123
1990,LG,120,3.38,19,14,71,49,33,1083,16649,4550,3977,981,49,77,24,410,28,61,548,12,2,457,407
1990,SAM,120,4.13,20,7,66,52,36,1069.33,17335,4630,3950,1053,102,76,38,512,15,53,475,26,7,558,491
1990,HAE,120,3.36,34,16,68,49,14,1067.33,16721,4435,3881,903,75,58,33,412,12,50,701,22,5,458,399
1990,BIN,120,3.4,6,5,68,50,40,1063.33,16934,4476,3901,971,96,88,31,419,26,37,556,18,4,481,402
1990,TPY,120,3.68,25,12,58,59,27,1082.33,17261,4629,4021,1039,58,87,28,462,16,30,524,32,6,511,443
1990,LOT,120,4.44,19,6,44,71,20,1062.66,16761,4590,3969,1062,83,76,41,446,16,56,487,30,5,585,524
1990,OB,120,4.72,18,8,35,80,10,1055.66,16973,4651,3908,1075,78,96,52,535,14,58,467,33,5,616,554
1990,Total,420,3.87,141,68,410,410,180,7483.66,118634,31961,27607,7084,541,558,247,3196,127,345,3758,173,34,3666,3220
1991,HAE,126,2.89,34,16,79,42,28,1130.66,17504,4546,4094,925,73,59,15,324,11,53,776,21,6,409,363
1991,BIN,126,3.28,30,13,72,49,28,1128,18137,4754,4167,1014,75,53,40,420,25,73,601,17,8,493,411
1991,SAM,126,4.23,14,7,70,55,38,1128.66,18181,4860,4204,1131,108,101,30,484,19,40,527,32,6,579,531
1991,LOT,126,4.03,37,6,61,62,13,1117.66,17614,4741,4105,1042,68,83,29,470,10,52,637,28,7,558,501
1991,TPY,126,4.02,33,8,55,69,20,1125,17842,4813,4176,1083,99,85,32,478,33,42,602,37,6,559,503
1991,LG,126,4.35,27,7,53,72,24,1124.66,18112,4889,4258,1125,90,81,34,446,23,70,622,26,7,608,544
1991,SSB,126,4.69,13,7,52,71,31,1099.66,18082,4838,4095,1101,116,95,27,556,26,64,551,35,12,638,573
1991,OB,126,4.21,28,7,51,73,11,1123.66,17444,4850,4138,1093,82,97,52,506,24,55,479,30,10,593,526
1991,Total,504,3.96,216,71,493,493,193,8978,142916,38291,33237,8514,711,654,259,3684,171,449,4795,226,62,4437,3952
1992,LOT,126,4.28,39,7,71,55,17,1113.66,17559,4778,4228,1152,99,63,39,410,12,37,581,43,1,581,529
1992,BIN,126,3.68,26,15,81,43,35,1120,18146,4747,4164,1024,108,80,34,415,19,52,653,38,0,520,458
1992,HAE,126,4.21,25,11,71,54,28,1105.33,17662,4767,4182,1101,118,81,29,405,13,69,678,30,2,571,517
1992,SAM,126,4.55,23,10,67,57,25,1125.66,19295,4984,4175,1085,102,72,47,636,9,52,640,50,3,636,569
1992,OB,126,4.22,30,5,56,66,21,1127,18152,4878,4198,1105,96,88,36,493,17,61,595,50,1,582,528
1992,TPY,126,4.48,26,3,56,67,25,1111,18488,4848,4184,1128,125,77,32,509,27,45,653,29,2,609,553
1992,LG,126,4.29,21,6,53,70,20,1130.66,19044,4967,4295,1171,83,85,34,487,35,65,648,25,2,616,539
1992,SSB,126,4.85,14,5,41,84,17,1091.66,18106,4828,4137,1106,140,77,33,516,21,65,600,44,1,686,588
1992,Total,504,4.32,204,62,496,496,188,8925,146452,38797,33563,8872,871,623,284,3871,153,446,5048,309,12,4801,4281
1993,HAE,126,2.92,16,17,81,42,43,1129.33,17241,4630,4075,935,76,83,23,372,8,75,802,21,2,420,367
1993,SAM,126,2.95,28,16,73,48,31,1137,17646,4728,4108,991,72,93,20,457,10,50,683,27,6,433,373
1993,OB,126,2.89,27,12,66,55,27,1128,17157,4618,4050,949,39,94,38,386,14,49,684,30,3,405,362
1993,LG,126,3.07,19,10,66,57,36,1126.66,17272,4696,4138,1020,71,80,28,385,23,64,655,20,3,440,384
1993,BIN,126,3.46,33,10,61,61,25,1127.66,17618,4720,4192,1035,84,74,35,370,8,49,669,32,2,491,434
1993,LOT,126,3.33,44,18,62,63,17,1120.66,16559,4669,4175,1088,57,79,33,348,11,30,512,28,2,462,415
1993,SSB,126,4,24,7,43,78,30,1106,18252,4787,4067,1032,88,92,36,528,12,62,654,22,3,551,491
1993,TPY,126,3.58,36,2,34,82,15,1134.66,17986,4801,4205,1095,65,104,40,412,21,39,635,21,2,516,451
1993,Total,504,3.27,227,92,486,486,224,9010,139731,37649,33010,8145,552,699,253,3258,107,418,5294,201,23,3718,3277
1994,LG,126,3.14,24,12,81,45,46,1120,16576,4605,4084,1007,68,90,37,332,19,60,581,23,3,452,391
1994,TPY,126,3.5,17,10,68,55,47,1121,17456,4746,4224,1110,59,83,36,359,12,44,645,40,3,471,436
1994,HAN,126,3.52,22,9,65,59,29,1123.66,17736,4716,4189,1036,95,83,43,361,27,40,745,35,1,510,440
1994,HAE,126,3.6,28,9,65,59,24,1119.33,17371,4702,4109,999,92,93,21,406,20,73,737,23,6,509,448
1994,SAM,126,3.47,25,8,60,64,24,1117,17423,4702,4122,1021,85,83,31,413,10,52,657,43,2,499,431
1994,LOT,126,4.44,14,8,56,67,35,1112.33,17550,4791,4212,1156,101,84,32,419,25,44,590,35,4,604,549
1994,OB,126,3.46,28,11,53,72,18,1107.66,17678,4676,4092,1042,56,89,32,404,16,58,670,39,2,507,426
1994,SSB,126,4.74,13,7,47,74,30,1115.66,18190,4890,4189,1169,110,104,50,473,19,74,634,33,1,634,587
1994,Total,504,3.73,171,74,495,495,253,8936.66,139980,37828,33221,8540,666,709,282,3167,148,445,5259,271,22,4186,3708
1995,OB,126,3.42,22,11,74,47,35,1148.33,17917,4800,4212,1031,68,76,56,399,24,56,701,30,3,500,437
1995,LOT,126,3.47,19,12,68,53,28,1137.33,16836,4658,4181,1049,83,62,34,328,13,53,642,32,2,493,439
1995,LG,126,3.21,22,6,74,48,40,1122.33,17058,4637,4137,996,62,82,38,322,17,58,607,28,6,456,400
1995,HAE,126,3.06,15,11,64,58,40,1127.66,17616,4620,4101,953,79,70,20,354,19,75,872,44,3,434,384
1995,SAM,126,3.9,18,6,60,60,28,1116,18133,4807,4150,1018,78,76,39,450,5,90,672,35,7,555,483
1995,HAN,126,4.04,36,11,55,71,24,1119,18337,4812,4224,1091,102,73,49,411,18,55,793,40,2,566,502
1995,TPY,126,3.92,21,9,48,73,24,1112,17511,4754,4207,1109,84,83,33,383,36,47,690,47,3,548,484
1995,SSB,126,4.67,21,6,45,78,21,1108,18017,4857,4181,1134,124,80,38,476,29,80,622,24,3,636,575
1995,Total,504,3.71,174,72,488,488,240,8990.66,141425,37945,33393,8381,680,602,307,3123,161,514,5599,280,29,4188,3704
1996,HAE,126,3.14,22,15,73,51,25,1133.66,17515,4618,4094,945,98,67,16,373,18,66,805,28,2,441,396
1996,HYU,126,3.04,7,12,67,54,36,1140.66,17579,4707,4167,974,76,79,28,378,30,54,749,39,4,454,385
1996,SSB,126,3.33,15,19,70,54,36,1125.33,17898,4761,4115,1030,64,92,40,420,28,93,744,26,5,460,416
1996,HAN,126,3.79,21,12,70,55,31,1132.66,18479,4742,4238,1025,98,76,19,351,22,56,949,44,0,532,477
1996,LOT,126,4.16,22,6,57,63,17,1120.66,17985,4786,4192,1127,93,101,39,397,30,55,684,38,1,580,518
1996,SAM,126,4.23,11,7,54,67,29,1117.33,18736,4901,4129,1085,88,97,44,527,28,102,654,41,1,581,525
1996,LG,126,4.11,7,5,50,71,29,1128.66,17963,4864,4203,1112,88,116,36,420,27,89,653,19,7,593,516
1996,OB,126,3.69,14,11,47,73,23,1119.66,18167,4759,4096,1044,81,113,49,441,37,58,666,51,3,520,459
1996,Total,504,3.68,119,87,488,488,226,9018.66,144322,38138,33234,8342,686,741,271,3307,220,573,5904,286,23,4161,3692
1997,HAE,126,3.65,11,10,75,50,38,1129,17617,4713,4121,986,108,88,25,390,34,89,794,34,5,510,458
1997,LG,126,3.78,4,10,73,51,45,1121.33,17339,4713,4130,1045,101,105,35,369,40,74,708,24,6,512,471
1997,SSB,126,3.82,6,8,71,53,42,1109.66,17468,4716,4127,1075,93,90,32,378,20,87,689,34,3,518,471
1997,SAM,126,4.23,9,5,66,53,38,1131,18382,4911,4182,1107,97,99,42,491,36,95,678,54,2,605,532
1997,OB,126,3.84,8,10,57,64,36,1123,18303,4835,4146,1090,67,128,37,453,35,67,784,65,7,551,479
1997,HYU,126,4.21,9,6,51,71,37,1108.33,17754,4734,4115,1050,123,106,31,423,24,57,755,38,2,582,519
1997,HAN,126,4.06,20,12,51,73,29,1115,18216,4681,4086,1024,129,91,41,412,25,50,792,41,4,554,503
1997,LOT,126,4.58,9,4,48,77,25,1111.33,18127,4839,4184,1155,116,101,41,464,26,47,640,47,2,621,566
1997,Total,504,4.02,76,65,492,492,290,8948.66,143206,38142,33091,8532,834,808,284,3380,240,566,5840,337,31,4453,3999
1998,HYU,126,3.03,11,8,81,45,33,1121,18003,4684,4116,984,98,86,33,415,14,33,875,37,1,445,377
1998,LG,126,4.18,3,7,63,62,31,1121.33,17764,4808,4258,1132,111,91,30,350,20,78,688,34,1,586,521
1998,SAM,126,4.32,10,1,66,58,26,1128,18723,4894,4227,1120,133,84,37,477,35,69,722,41,1,584,541
1998,OB,126,3.6,15,7,61,62,28,1116.66,17958,4743,4144,1054,88,88,30,425,22,55,774,59,3,506,447
1998,HAE,126,3.91,6,9,61,64,39,1108.33,17804,4678,4138,1062,121,81,32,351,32,76,870,34,0,531,481
1998,SSB,126,4.04,5,9,58,66,26,1115.33,17716,4778,4220,1137,111,81,34,359,21,83,631,44,4,570,501
1998,HAN,126,4.26,8,6,55,66,30,1118.66,18474,4783,4191,1107,114,115,30,405,31,40,840,39,2,578,529
1998,LOT,126,4.61,20,7,50,72,17,1114,17989,4812,4246,1149,115,72,39,381,27,74,693,52,2,646,570
1998,Total,504,3.99,78,54,495,495,230,8943.33,144431,38180,33540,8745,891,698,265,3163,202,508,6093,340,14,4446,3967
1999,HAN,132,4.88,13,5,72,58,42,1170,19497,5097,4522,1205,171,74,24,415,18,61,866,50,10,701,635
1999,LOT,132,4.18,15,8,75,52,34,1178,19176,5002,4401,1125,146,78,38,431,14,54,852,52,6,590,547
1999,DOO,132,4.58,4,8,76,51,40,1188,20011,5182,4480,1192,133,72,37,521,12,72,837,60,12,657,605
1999,SAM,132,5.16,4,5,73,57,40,1195.66,20330,5332,4651,1295,157,73,46,502,20,60,929,59,5,748,685
1999,HYU,132,4.47,10,6,68,59,25,1181.33,19917,5188,4516,1268,141,99,40,473,11,60,910,33,6,646,587
1999,LG,132,5.49,2,6,61,70,40,1161.33,20172,5236,4527,1301,157,82,38,511,16,78,813,70,8,773,708
1999,HAE,132,5.21,3,3,60,69,28,1168.33,19745,5198,4523,1267,182,70,39,462,23,104,782,49,4,743,676
1999,SSB,132,5.85,6,4,28,97,14,1163.66,19791,5273,4540,1342,187,91,58,481,20,103,661,63,8,826,757
1999,Total,528,4.98,57,45,513,513,263,9406.33,158639,41508,36160,9995,1274,639,320,3796,134,592,6650,436,59,5684,5200
2000,HYU,133,3.64,5,11,91,40,51,30,1189.66,19709,5014,4444,1111,95,54,30,451,10,34,997,46,4,528
2000,DOO,133,4.22,3,4,76,57,52,39,1172.66,19812,5147,4464,1190,104,63,47,517,19,56,829,61,11,616
2000,SAM,133,4.64,6,4,69,59,34,28,1184.33,20205,5229,4516,1233,130,64,46,524,6,77,880,52,9,670
2000,LG,133,4.45,7,4,67,63,33,25,1185.66,19911,5127,4508,1197,113,64,45,449,19,61,886,49,7,631
2000,LOT,133,4.02,8,14,65,64,34,13,1196.66,19401,5083,4493,1136,129,71,24,442,12,53,917,47,1,579
2000,HAE,133,4.95,10,5,57,72,26,22,1197.66,20611,5349,4657,1284,177,67,38,491,14,96,881,52,3,728
2000,HAN,133,5.24,7,7,50,78,31,9,1182.66,20263,5296,4569,1248,189,79,38,527,15,83,805,46,2,776
2000,SK,133,5.98,1,0,44,86,21,9,1165.66,20144,5360,4657,1393,195,54,49,524,38,76,718,48,2,847
2000,Total,532,4.64,47,49,519,519,282,175,9475,160056,41605,36308,9792,1132,516,317,3925,133,536,6913,401,39,5375
2001,DOO,133,4.96,1,3,65,63,35,40,1180.33,20071,5282,4543,1290,128,85,48,546,17,60,799,47,0,733
2001,SAM,133,4.39,7,6,81,52,43,20,1187.33,20128,5243,4507,1195,132,76,37,561,20,61,844,38,8,644
2001,HYU,133,4.34,6,3,72,57,39,23,1183.33,20097,5218,4518,1250,98,78,37,531,8,54,757,54,1,628
2001,HAN,133,4.82,7,5,61,68,25,33,1185,20774,5331,4606,1288,142,73,45,541,44,66,813,57,5,733
2001,KIA,133,5.01,10,6,60,68,28,16,1178.66,19799,5207,4521,1231,160,71,36,499,17,79,743,51,3,727
2001,LG,133,5.09,0,3,58,67,26,27,1184.66,21119,5380,4519,1253,127,99,46,647,43,69,765,52,6,732
2001,SK,133,4.38,11,8,60,71,33,22,1171.33,19710,5110,4426,1148,155,76,34,508,31,65,908,54,1,640
2001,LOT,133,4.68,0,3,59,70,33,28,1171.66,19593,5189,4481,1238,128,86,38,523,23,61,790,53,2,670
2001,Total,532,4.71,42,37,516,516,262,209,9442.33,161291,41960,36121,9893,1070,644,321,4356,203,515,6419,406,26,5507
2002,SAM,133,3.92,2,8,82,47,37,22,1197.66,19535,5089,4517,1182,148,80,33,385,16,74,987,45,3,581
2002,LG,133,3.93,2,9,66,61,32,40,1190.66,20432,5145,4444,1119,135,74,26,501,30,100,896,40,5,575
2002,KIA,133,3.92,10,7,78,51,38,30,1195,19112,5106,4550,1185,151,54,34,370,14,97,862,55,2,580
2002,HYU,133,4.23,3,6,70,58,38,36,1186.33,19927,5131,4554,1219,142,64,32,416,12,64,890,54,5,614
2002,DOO,133,3.93,3,6,66,65,38,43,1183,19237,5087,4437,1139,99,77,33,479,30,60,954,44,2,562
2002,SK,133,4.47,5,7,61,69,25,15,1179,19578,5074,4515,1150,176,55,23,402,34,78,948,34,3,638
2002,HAN,133,4.79,8,5,59,69,32,32,1184.66,20061,5198,4604,1254,146,62,38,392,29,102,953,42,4,672
2002,LOT,133,4.72,5,7,35,97,13,19,1168,19635,5156,4514,1269,130,70,45,443,16,83,775,40,1,710
2002,Total,532,4.24,38,55,517,517,253,237,9484.33,157517,40986,36135,9517,1127,536,264,3388,181,658,7265,354,25,4932
2003,HYU,133,4.13,2,4,80,51,39,43,1190,20181,5197,4553,1245,120,92,33,457,6,62,840,56,2,627
2003,SK,133,4.44,3,10,66,64,43,48,1181.33,19830,5158,4462,1190,135,84,32,497,19,83,759,42,2,642
2003,KIA,133,3.62,12,10,78,50,36,34,1178,19162,4999,4366,1092,137,88,30,414,12,101,820,42,1,527
2003,SAM,133,4.37,2,5,76,53,30,41,1183,19834,5150,4471,1199,133,95,29,494,15,59,808,46,3,613
2003,HAN,133,4.37,4,8,63,65,35,31,1192,19888,5165,4533,1184,142,82,45,437,14,68,772,53,9,617
2003,LG,133,3.98,2,10,60,71,37,51,1169.66,20403,5166,4424,1201,120,116,34,531,27,60,794,49,2,579
2003,DOO,133,4.24,7,7,57,74,30,53,1175.66,19144,5144,4453,1194,105,105,43,464,22,79,654,37,3,619
2003,LOT,133,5.01,3,4,39,91,22,58,1164.33,19413,5173,4512,1302,171,93,40,435,16,93,647,36,3,709
2003,Total,532,4.27,35,58,519,519,272,359,9434,157855,41152,35774,9607,1063,755,286,3729,131,605,6094,361,25,4933
2004,HYU,133,4.06,3,8,75,53,36,32,1187,20159,5135,4542,1193,123,69,25,440,0,59,842,41,4,590
2004,SAM,133,3.76,4,9,73,52,42,74,1196.33,20237,5138,4427,1092,118,87,34,505,17,85,994,43,6,564
2004,DOO,133,3.88,4,12,70,62,38,47,1177.66,19198,5056,4400,1144,95,84,40,457,18,75,799,49,3,560
2004,KIA,133,4.51,5,9,67,61,27,24,1183,19717,5199,4467,1198,119,77,39,496,13,120,773,48,1,637
2004,SK,133,4.4,3,6,61,64,29,49,1186.33,20469,5216,4464,1173,116,79,25,538,18,110,891,57,8,644
2004,LG,133,4.31,3,6,59,70,35,64,1164.33,20349,5180,4454,1235,116,76,42,543,31,64,783,55,1,637
2004,HAN,133,5.21,3,0,53,74,37,36,1180.66,19697,5267,4581,1290,170,95,44,455,18,92,699,47,2,750
2004,LOT,133,4.22,4,8,50,72,29,46,1190.33,19578,5160,4477,1216,109,105,53,449,41,76,753,43,3,608
2004,Total,532,4.29,29,58,508,508,273,372,9465.66,159404,41351,35812,9541,966,672,302,3883,156,681,6534,383,28,4990
2005,SAM,126,3.83,2,7,74,48,37,62,1129.33,18580,4791,4209,1026,109,93,23,387,11,79,875,49,5,528
2005,DOO,126,3.42,2,14,72,51,33,51,1125,18006,4774,4142,1038,90,82,33,440,13,77,818,56,2,465
2005,SK,126,3.41,2,10,70,50,27,50,1137,18822,4822,4190,1005,103,88,23,422,14,99,843,31,1,485
2005,HAN,126,4.41,2,6,64,61,36,43,1111,18413,4870,4269,1193,111,79,45,389,9,88,662,35,2,603
2005,LOT,126,4.3,2,6,58,67,33,24,1120.33,18373,4845,4224,1097,91,98,26,408,41,89,817,44,1,573
2005,LG,126,4.9,3,7,54,71,31,59,1102.33,19542,4969,4281,1212,109,88,40,480,27,80,781,48,5,666
2005,HYU,126,4.68,2,9,53,70,28,22,1115.66,18926,4930,4310,1175,125,85,33,422,2,80,803,43,3,647
2005,KIA,126,4.81,8,5,49,76,24,26,1105,19287,4975,4222,1166,138,91,33,510,16,119,786,59,3,659
2005,Total,504,4.21,23,64,494,494,249,337,8945.66,149949,38976,33847,8912,876,704,256,3458,133,711,6385,365,22,4626
2006,SAM,126,3.33,1,15,73,50,49,65,1118,18038,4699,4144,1030,100,98,28,365,9,63,781,21,7,471
2006,HAN,126,3.35,11,14,67,57,41,47,1121.33,17764,4731,4197,1077,94,94,18,373,17,49,760,37,2,475
2006,HYU,126,3.41,2,15,70,55,41,45,1114.66,18458,4771,4200,1053,69,82,23,394,0,71,816,39,0,467
2006,KIA,126,3.33,2,9,64,59,35,29,1118.33,18216,4725,4100,998,73,81,23,442,17,78,735,44,2,451
2006,DOO,126,3.36,7,10,63,60,39,29,1115.66,17927,4690,4033,968,69,117,47,424,13,69,834,55,1,467
2006,SK,126,3.8,0,6,60,65,33,52,1124,18300,4819,4138,1071,85,119,33,446,24,83,701,26,2,535
2006,LOT,126,3.86,5,9,50,73,28,34,1118.66,18088,4822,4213,1128,83,100,38,410,30,60,637,30,1,541
2006,LG,126,4.22,3,10,47,75,29,53,1110,18397,4834,4187,1144,87,115,33,439,23,60,625,41,3,574
2006,Total,504,3.58,31,88,494,494,295,354,8940.66,145188,38091,33212,8469,660,806,243,3293,133,533,5889,293,18,3981
2007,SK,126,3.24,1,10,73,48,36,77,1139.33,18425,4852,4214,1079,77,94,32,445,27,67,650,28,1,465
2007,DOO,126,3.44,6,14,70,54,30,42,1131.33,18464,4814,4227,1067,74,79,34,399,24,75,721,43,4,480
2007,HAN,126,3.54,9,5,67,57,39,36,1119,18314,4781,4159,1084,84,82,36,451,24,53,741,38,4,481
2007,SAM,126,3.71,0,11,62,60,41,51,1131.66,18606,4824,4226,1091,90,94,46,400,7,58,719,35,5,509
2007,LG,126,4.33,2,9,58,62,34,58,1135.66,19341,5014,4287,1181,63,105,55,514,21,52,630,48,2,600
2007,HYU,126,4.41,1,2,56,69,27,46,1127,18861,4906,4268,1104,119,91,32,466,20,48,796,32,4,615
2007,LOT,126,4.12,2,9,55,68,22,24,1120.66,18425,4871,4250,1164,93,95,43,414,40,69,704,46,4,554
2007,KIA,126,4.49,2,6,51,74,26,27,1109.66,18852,4933,4177,1109,103,93,39,526,28,97,670,60,7,602
2007,Total,504,3.91,23,66,492,492,255,361,9014.33,149288,38995,33808,8879,703,733,317,3615,191,519,5631,330,31,4306
2008,SK,126,3.22,1,10,83,43,43,72,1151,18607,4855,4250,1053,78,70,32,448,13,55,801,35,2,461
2008,DOO,126,3.89,0,8,70,56,26,37,1134.66,18259,4857,4298,1115,78,66,45,379,13,69,780,45,5,542
2008,LOT,126,3.64,9,5,69,57,27,38,1119,17361,4769,4195,1134,70,78,40,409,32,47,671,42,2,518
2008,SAM,126,4.4,0,6,65,61,40,48,1123.33,18532,4867,4313,1184,87,54,41,416,4,43,703,49,4,596
2008,HAN,126,4.43,3,5,64,62,36,39,1129.66,18991,4911,4222,1136,95,74,46,519,28,49,723,37,4,595
