Year,Team,STADIUM,G,BF,AB,IP,HA,HRA,SH,SF,BBBA,K,AR,ER,ERA,AB,R,H,2B,3B,HR,RBI,SB,CS,SH,SF,BBB,SO,GIDP,E,AVG
1987,OB,JS,63,2396,2070,568,512,12,44,14,268,223,217,182,2.88,2015,231,535,66,24,8,219,43,32,43,11,218,187,56,71,0.266
1987,MBC,DG,9,343,310,77,92,13,1,3,29,32,45,43,5.03,309,48,93,14,1,12,45,5,6,6,2,33,24,13,5,0.301
1987,MBC,DJ,9,362,300,790.33,87,5,13,5,44,33,48,38,4.31,324,50,104,13,2,8,45,8,8,13,2,26,27,8,14,0.321
1987,MBC,MU,9,347,317,85,67,7,3,0,27,17,23,18,1.91,307,21,60,6,2,3,20,4,3,5,2,16,47,3,10,0.195
1987,MBC,SJ,9,333,304,780.33,82,3,3,3,23,41,35,30,3.45,301,17,63,7,3,0,13,6,3,7,2,24,47,5,10,0.209
1987,MBC,IC,9,327,287,79,68,7,7,0,33,34,28,26,2.96,300,30,78,16,4,3,28,11,3,10,4,29,29,6,7,0.26
1987,MBC,JS,63,2406,2127,573,570,13,38,12,229,215,228,208,3.27,2025,222,521,61,26,10,208,57,31,44,16,211,179,45,46,0.257
1987,BIN,DG,9,332,298,74,91,9,2,6,26,23,47,36,4.38,281,24,67,8,0,2,21,8,9,8,1,40,41,11,15,0.238
1987,BIN,DJ,54,2085,1857,497,507,43,39,17,171,179,243,214,3.88,1749,228,492,84,4,33,205,41,40,60,12,192,187,41,51,0.281
1987,BIN,MU,9,317,292,77,73,8,5,1,19,35,24,23,2.69,286,28,67,7,0,4,24,4,5,6,2,29,39,7,8,0.234
1987,BIN,SJ,9,329,293,76,76,3,6,2,28,34,35,29,3.43,313,40,96,13,5,3,38,12,8,8,2,39,53,2,9,0.307
1987,BIN,IC,9,320,282,780.33,71,7,10,2,26,46,34,31,3.56,313,31,91,16,1,3,28,3,10,6,1,21,30,9,9,0.291
1987,BIN,JS,18,637,572,153,152,5,13,3,48,47,71,68,4,605,59,159,17,12,3,54,11,13,16,5,59,73,14,13,0.263
1987,CHE,DG,9,360,316,770.33,105,10,4,2,38,32,51,48,5.59,295,33,69,11,1,7,31,9,7,7,1,41,33,13,9,0.234
1987,CHE,DJ,9,342,299,79,85,8,12,1,30,30,45,34,3.87,293,35,62,14,1,4,32,12,8,6,1,33,44,6,15,0.212
1987,CHE,MU,9,340,299,770.66,90,10,4,5,40,19,43,40,4.64,291,44,78,14,1,6,43,11,6,11,5,32,48,5,6,0.268
1987,CHE,SJ,9,338,294,78,77,3,7,2,35,19,39,29,3.35,308,28,80,12,2,1,26,12,6,5,1,37,44,8,8,0.26
1987,CHE,IC,54,2127,1883,492,558,37,44,19,181,178,275,246,4.5,1725,209,422,88,6,34,192,64,37,41,9,210,258,33,44,0.245
1987,CHE,JS,18,633,565,152,148,1,11,8,39,50,71,66,3.91,587,52,137,12,3,2,48,19,16,12,0,74,75,14,9,0.233
1988,HAE,DG,9,318,282,77,67,9,2,3,31,54,33,29,3.39,311,49,89,7,1,19,44,7,5,4,1,27,29,11,10,0.286
1988,HAE,DJ,9,318,281,76,63,3,4,2,31,48,34,27,3.2,308,34,92,9,1,7,34,9,7,4,3,29,36,12,8,0.299
1988,HAE,MU,54,2031,1811,493,434,24,38,12,170,243,186,160,2.92,1749,258,493,80,9,51,241,63,23,33,15,194,177,49,55,0.282
1988,HAE,SJ,9,324,288,79,69,6,11,0,25,38,30,24,2.73,304,34,76,8,0,8,32,9,6,7,1,26,46,7,7,0.25
1988,HAE,IC,9,328,289,790.66,73,9,11,0,28,48,33,30,3.39,306,43,85,14,0,8,38,18,5,9,3,33,38,5,5,0.278
1988,HAE,JS,18,662,602,164,143,7,10,1,49,70,48,38,2.09,626,87,184,17,3,19,82,30,12,20,10,80,56,13,13,0.294
1988,BIN,DG,9,345,299,77,86,6,3,4,39,36,52,48,5.61,298,48,81,17,2,7,46,6,6,6,2,42,37,8,8,0.272
1988,BIN,DJ,54,2085,1869,493,544,42,37,12,167,196,240,219,4,1768,279,499,94,10,41,259,38,30,37,16,207,202,35,44,0.282
1988,BIN,MU,9,339,291,83,70,8,13,3,32,33,30,29,3.14,307,27,68,7,1,2,23,5,0,5,1,30,66,9,7,0.221
1988,BIN,SJ,9,314,279,78,65,2,8,3,24,35,19,15,1.73,293,37,73,15,3,6,31,10,7,7,4,28,46,6,4,0.249
1988,BIN,IC,9,317,285,760.33,78,2,7,0,25,34,35,32,3.77,311,38,80,20,2,6,36,13,2,2,3,17,43,5,9,0.257
1988,BIN,JS,18,691,624,1640.66,172,12,14,3,50,60,65,59,3.22,639,77,160,24,3,11,70,11,6,12,7,60,69,15,13,0.25
1988,LOT,DG,9,351,318,84,80,6,6,0,27,57,24,21,2.25,310,33,85,9,0,6,30,20,10,14,0,31,30,8,8,0.274
1988,LOT,DJ,9,334,298,76,100,5,5,4,27,36,49,48,5.68,304,42,82,10,1,5,40,7,7,6,2,22,27,7,5,0.27
1988,LOT,MU,9,332,299,78,85,5,4,1,28,31,29,26,3,302,35,81,13,1,5,34,11,5,11,2,31,30,7,4,0.268
1988,LOT,SJ,54,2050,1829,489,472,30,36,16,165,255,226,193,3.55,1750,256,496,75,13,40,234,62,22,44,13,185,172,38,41,0.283
1988,LOT,IC,9,356,310,800.66,89,5,7,3,36,34,47,42,4.69,309,47,84,20,1,6,44,12,6,8,3,35,25,8,11,0.272
1988,LOT,JS,18,680,582,1610.66,142,5,12,7,79,64,74,61,3.4,603,69,139,15,2,6,64,15,14,21,4,83,49,13,23,0.231
1988,SAM,DG,54,2066,1819,494,459,43,41,13,192,182,214,193,3.52,1787,253,496,70,8,46,233,56,26,28,14,205,249,30,45,0.278
1988,SAM,DJ,9,348,291,79,76,5,7,3,47,27,51,49,5.58,330,61,104,17,1,10,58,11,6,4,2,37,32,3,2,0.315
1988,SAM,MU,9,341,294,75,84,12,1,5,41,26,58,56,6.72,314,36,83,14,0,6,35,4,5,1,0,35,33,9,8,0.264
1988,SAM,SJ,9,354,303,790.33,89,10,7,3,41,24,45,41,4.65,321,49,87,11,3,6,48,13,4,3,4,41,51,7,3,0.271
1988,SAM,IC,9,334,294,78,80,7,4,2,34,32,37,34,3.92,311,55,91,16,1,9,54,14,8,4,1,31,48,4,3,0.293
1988,SAM,JS,18,708,599,1610.66,165,3,16,5,88,50,87,76,4.23,629,62,167,21,8,8,58,12,13,13,3,74,80,21,15,0.266
1988,OB,DG,9,342,298,760.66,83,8,7,2,35,30,44,39,4.58,290,24,56,8,1,3,21,6,1,3,5,34,27,7,8,0.193
1988,OB,DJ,9,340,296,770.33,88,9,9,2,33,24,44,40,4.66,299,30,79,14,1,8,28,10,4,5,2,17,30,10,7,0.264
1988,OB,MU,9,306,275,76,67,9,3,1,27,42,38,35,4.14,291,29,66,6,0,1,26,7,3,6,2,25,35,9,4,0.227
1988,OB,SJ,9,339,287,75,87,9,7,5,40,21,61,54,6.48,302,32,74,11,3,2,29,6,0,5,3,17,37,5,4,0.245
1988,OB,IC,9,330,290,80,74,2,4,3,33,29,25,22,2.48,316,45,97,20,0,5,44,7,4,6,5,27,41,8,9,0.307
1988,OB,JS,63,2448,2128,5840.33,534,32,58,14,248,242,235,212,3.27,2086,258,551,86,20,25,239,51,27,53,14,229,205,52,49,0.264
1988,MBC,DG,9,345,298,76,89,7,4,2,41,37,46,41,4.86,306,37,78,13,2,3,36,16,7,9,4,32,36,3,8,0.255
1988,MBC,DJ,9,354,307,800.66,89,12,10,2,35,37,59,58,6.47,332,42,106,13,2,5,36,13,7,6,1,30,34,11,8,0.319
1988,MBC,MU,9,353,306,770.66,96,8,4,3,40,23,44,40,4.64,310,41,76,14,0,4,35,9,4,9,4,26,34,2,10,0.245
1988,MBC,SJ,9,334,301,74,99,6,6,1,26,30,50,44,5.35,312,33,81,15,3,3,28,10,3,3,2,26,40,5,9,0.26
1988,MBC,IC,9,338,304,80,88,6,4,2,28,36,33,27,3.04,318,40,90,18,0,5,37,7,5,2,1,23,29,6,7,0.283
1988,MBC,JS,63,2464,2134,573,577,30,58,22,249,184,259,213,3.35,2074,215,520,59,20,22,201,63,35,41,11,218,211,45,63,0.251
1988,TPY,DG,9,333,292,74,91,10,6,3,32,35,54,49,5.96,304,23,70,8,2,5,21,6,2,5,1,26,23,10,7,0.23
1988,TPY,DJ,9,334,295,75,83,7,2,3,34,30,42,37,4.44,296,31,81,12,3,7,28,5,8,12,2,32,37,4,5,0.274
1988,TPY,MU,9,320,284,72,91,9,8,2,26,22,59,52,6.5,287,18,60,3,1,6,18,6,2,6,3,23,45,3,6,0.209
1988,TPY,SJ,9,328,292,75,87,7,5,1,29,24,51,46,5.52,297,41,81,18,3,5,41,5,6,11,2,27,35,6,3,0.273
1988,TPY,IC,54,2085,1871,492,527,39,31,16,166,224,268,240,4.39,1772,210,482,100,6,31,200,43,39,37,10,184,213,42,51,0.272
1988,TPY,JS,18,636,561,154,134,6,17,4,54,51,64,54,3.16,573,64,146,22,8,4,60,18,8,25,7,73,51,19,21,0.255
1989,HAE,DG,10,376,336,84,103,11,3,2,35,56,53,49,5.25,352,55,98,10,0,16,52,12,6,5,0,46,42,12,7,0.278
1989,HAE,DJ,10,374,330,85,88,12,4,5,35,72,57,53,5.61,341,38,74,10,0,10,36,6,2,2,2,26,33,6,12,0.217
1989,HAE,MU,60,2242,2004,562,411,31,32,11,195,368,173,153,2.45,1948,257,509,70,3,50,246,55,37,34,16,277,253,53,53,0.261
1989,HAE,SJ,10,382,327,880.66,84,2,8,3,44,40,42,38,3.86,342,34,84,9,2,5,32,8,7,6,1,35,47,8,3,0.246
1989,HAE,IC,10,390,321,910.33,72,2,10,3,56,76,36,33,3.25,331,33,75,16,0,5,30,5,11,4,2,44,55,8,8,0.227
1989,HAE,JS,20,715,620,1670.66,170,5,15,8,72,82,81,74,3.97,649,83,171,27,4,4,76,25,11,6,5,90,78,24,17,0.263
1989,BIN,DG,10,377,336,88,92,13,1,4,36,46,52,48,4.91,357,57,110,13,2,12,51,16,4,7,3,40,50,5,5,0.308
1989,BIN,DJ,60,2314,2037,557,506,43,37,19,221,261,232,210,3.39,2030,341,594,121,7,59,318,57,24,29,23,252,247,44,60,0.293
1989,BIN,MU,10,362,307,830.66,77,9,3,5,47,36,39,29,3.12,320,19,56,8,3,3,18,11,5,4,1,26,62,1,9,0.175
1989,BIN,SJ,10,380,321,87,82,2,9,2,48,45,35,32,3.31,346,48,92,14,4,6,43,14,5,4,3,36,60,3,4,0.266
1989,BIN,IC,10,365,318,82,88,4,5,3,39,47,55,45,4.94,337,40,93,21,2,4,37,9,9,2,6,26,46,8,16,0.276
1989,BIN,JS,20,741,638,179,137,4,9,8,85,101,63,51,2.56,674,90,176,31,8,13,82,15,13,18,9,80,79,13,18,0.261
1989,TPY,DG,10,383,338,900.66,94,6,4,7,34,49,54,44,4.37,357,73,97,14,5,13,66,19,5,12,3,62,39,6,11,0.272
1989,TPY,DJ,10,376,330,86,94,8,5,1,40,33,49,48,5.02,330,42,80,10,1,6,39,11,5,5,4,42,51,12,4,0.242
1989,TPY,MU,10,391,329,910.33,69,8,6,3,53,58,39,31,3.05,342,34,74,13,2,6,32,15,6,6,5,29,60,5,13,0.216
1989,TPY,SJ,10,360,301,85,76,3,8,0,51,33,33,27,2.86,324,32,78,7,6,1,28,13,11,6,4,34,46,4,7,0.241
1989,TPY,IC,60,2288,2011,562,477,20,33,18,226,335,203,163,2.61,1945,238,491,120,7,19,217,90,40,43,14,277,285,37,58,0.252
1989,TPY,JS,20,713,616,1760.66,142,4,18,3,76,81,62,55,2.8,645,80,161,23,4,10,71,20,13,27,5,100,73,17,18,0.25
1989,SAM,DG,60,2399,2066,5470.33,556,53,48,11,274,251,303,267,4.39,1990,321,584,86,7,63,299,79,34,23,29,221,281,43,59,0.293
1989,SAM,DJ,10,392,333,850.66,101,11,4,4,51,33,67,63,6.62,339,40,87,19,1,5,37,12,7,8,2,34,53,3,10,0.257
1989,SAM,MU,10,394,328,840.33,97,10,5,3,58,41,61,55,5.87,325,34,67,12,2,8,31,13,8,5,1,30,65,7,11,0.206
1989,SAM,SJ,10,409,348,900.66,101,4,8,3,50,37,45,39,3.87,366,65,108,19,5,9,60,18,4,6,4,35,55,6,12,0.295
1989,SAM,IC,10,367,316,87,79,1,4,3,44,34,34,27,2.79,334,31,78,14,0,4,28,6,8,3,1,34,54,10,9,0.234
1989,SAM,JS,20,727,625,173,160,5,14,5,83,73,78,73,3.8,670,89,170,23,5,7,85,31,15,11,10,88,108,8,15,0.254
1989,OB,DG,10,362,308,820.33,92,7,7,1,46,44,53,49,5.36,331,32,70,7,1,4,28,16,4,6,0,25,40,4,8,0.211
1989,OB,DJ,10,396,338,860.33,99,12,6,7,45,50,56,52,5.42,352,53,107,26,2,11,50,7,7,7,6,36,48,5,10,0.304
1989,OB,MU,10,400,342,930.66,85,6,7,3,48,44,33,31,2.98,358,23,76,10,1,6,22,12,2,8,1,26,64,6,8,0.212
1989,OB,SJ,10,360,310,91,64,4,10,2,38,44,25,24,2.37,339,32,81,15,4,2,32,20,3,11,2,46,50,7,8,0.239
1989,OB,IC,10,358,302,86,77,4,10,2,44,43,28,25,2.62,327,33,71,19,2,2,28,8,8,4,3,39,69,4,6,0.217
1989,OB,JS,70,2675,2266,633,552,27,51,20,338,318,286,260,3.7,2228,274,565,88,18,17,256,72,49,46,20,259,288,39,55,0.254
1989,MBC,DG,10,398,357,88,117,19,2,7,32,40,66,52,5.32,345,58,100,15,2,7,58,17,8,6,3,58,40,13,14,0.29
1989,MBC,DJ,10,410,362,88,109,4,1,1,46,32,58,52,5.32,346,31,84,11,2,4,29,19,6,7,5,43,39,9,12,0.243
1989,MBC,MU,10,374,332,830.33,106,11,3,1,38,26,54,52,5.62,331,29,69,7,2,4,28,9,4,4,1,36,58,6,6,0.208
1989,MBC,SJ,10,392,341,87,98,3,3,3,45,52,47,39,4.03,349,63,109,14,5,8,58,20,7,11,1,45,37,11,9,0.312
1989,MBC,IC,10,394,331,870.33,90,5,9,2,52,48,51,45,4.64,325,41,80,15,0,2,36,19,15,10,4,39,45,8,11,0.246
1989,MBC,JS,70,2725,2356,636,619,19,49,31,288,253,305,268,3.79,2216,268,543,77,25,17,249,88,54,47,28,289,270,42,70,0.245
1989,LOT,DG,10,367,315,83,86,7,6,8,38,46,43,38,4.12,324,28,81,11,1,1,25,10,4,12,2,43,40,7,13,0.25
1989,LOT,DJ,10,386,337,87,103,12,9,5,35,27,54,49,5.07,329,28,74,11,0,7,27,3,3,8,0,40,37,9,7,0.225
1989,LOT,MU,10,354,310,870.33,75,6,10,1,33,48,31,31,3.19,328,34,69,9,0,4,33,5,5,5,2,48,59,7,6,0.21
1989,LOT,SJ,60,2356,2066,5540.33,552,31,44,15,231,295,274,242,3.93,1948,227,505,91,15,18,204,56,40,46,13,276,251,45,46,0.259
1989,LOT,IC,10,405,357,970.33,85,3,5,1,42,37,34,31,2.87,357,25,80,14,1,3,22,11,13,10,2,44,66,4,10,0.224
1989,LOT,JS,20,701,614,167,171,9,16,10,61,55,86,76,4.1,653,77,165,19,6,5,72,15,9,17,8,97,67,17,17,0.253
1991,HAE,GS,1,41,34,8,14,0,0,1,6,4,7,7,7.88,24,7,12,2,1,0,7,1,0,0,0,7,0,1,1,0.5
1991,HAE,DG,9,323,290,78,74,14,3,0,30,49,41,37,4.27,297,48,84,16,1,11,46,6,10,8,5,58,52,3,8,0.283
1991,HAE,DJ,9,316,284,75,75,6,6,2,24,63,29,27,3.24,301,39,76,12,2,7,38,7,6,7,2,37,41,4,5,0.252
1991,HAE,MU,63,2236,2030,573,423,36,29,9,168,420,179,152,2.39,1971,293,487,80,8,85,281,73,34,28,13,268,280,43,37,0.247
1991,HAE,SJ,9,329,286,77,66,3,7,0,36,47,40,30,3.51,306,48,79,19,0,8,45,14,3,2,4,47,44,9,9,0.258
1991,HAE,SW,1,52,42,120.66,7,0,1,0,9,11,2,2,1.42,48,1,10,1,1,0,1,2,0,0,0,5,10,1,0,0.208
1991,HAE,IC,8,292,268,740.33,57,3,2,0,22,44,24,23,2.78,275,37,71,9,1,8,33,10,8,8,3,48,43,8,5,0.258
1991,HAE,JS,18,632,572,1570.66,129,6,8,2,49,76,47,46,2.63,622,92,172,17,13,11,91,29,10,12,5,83,85,24,13,0.277
1991,HAE,JJ,8,325,288,75,80,5,3,1,33,62,40,39,4.68,291,53,78,15,2,14,52,10,6,9,3,46,33,9,3,0.268
1991,BIN,DG,9,344,299,770.33,84,9,3,3,39,36,45,36,4.19,320,59,97,5,1,19,59,5,4,8,1,32,49,8,8,0.303
1991,BIN,DJ,55,2052,1811,495,429,30,24,15,202,286,198,167,3.04,1748,231,450,64,14,53,216,51,21,25,10,232,288,39,56,0.257
1991,BIN,MU,9,347,297,81,62,8,3,3,44,44,34,31,3.44,298,22,61,9,0,6,20,7,6,2,1,27,86,5,7,0.205
1991,BIN,SJ,9,376,319,79,110,4,5,4,47,28,69,53,6.04,318,58,95,17,4,4,51,14,4,10,3,46,41,8,9,0.299
1991,BIN,SW,1,33,30,9,4,0,0,0,3,3,1,1,1,40,17,17,5,2,1,17,0,1,2,2,8,4,0,0,0.425
1991,BIN,IC,8,274,247,690.33,53,3,5,2,20,39,16,11,1.43,257,24,53,10,3,8,23,7,6,1,1,20,51,4,7,0.206
1991,BIN,JS,18,665,594,1610.33,127,2,8,6,57,86,56,43,2.4,652,122,214,35,18,16,114,19,12,22,7,91,92,10,24,0.328
1991,BIN,JJ,9,329,276,74,77,13,0,2,51,43,45,43,5.23,314,65,96,18,1,20,63,12,4,7,2,44,45,12,4,0.306
1991,BIN,CJ,8,334,294,82,68,6,5,5,30,36,29,26,2.85,275,46,72,18,0,9,44,6,5,7,2,35,49,6,5,0.262
1991,SAM,DG,63,2512,2169,579,595,59,62,18,262,281,304,279,4.34,2065,334,585,101,11,65,314,55,47,41,15,291,264,52,40,0.283
1991,SAM,DJ,9,326,284,780.33,74,5,5,1,36,33,31,28,3.22,303,43,74,11,2,5,37,15,4,5,1,44,43,9,7,0.244
1991,SAM,MU,9,314,274,73,75,16,4,3,33,35,50,47,5.79,289,22,65,7,1,5,20,4,1,5,2,26,46,6,6,0.225
1991,SAM,SJ,9,342,296,81,77,7,8,2,36,34,41,38,4.22,312,52,89,16,3,3,49,14,2,5,4,45,47,10,5,0.285
1991,SAM,SW,1,35,30,9,5,0,1,0,4,4,1,1,1,30,3,8,0,0,0,2,4,1,1,1,3,2,1,0,0.267
1991,SAM,IC,8,307,275,730.33,71,8,4,1,27,36,27,23,2.82,281,32,70,15,1,6,32,3,8,4,0,32,44,5,11,0.249
1991,SAM,JS,18,698,588,160,151,3,13,4,93,65,82,74,4.16,594,95,139,15,5,11,84,21,14,15,11,81,73,15,8,0.234
1991,SAM,JJ,9,326,288,75,83,10,4,1,33,39,43,41,4.92,308,58,108,15,2,13,54,10,5,9,3,47,27,8,4,0.351
1991,LOT,DG,9,369,307,790.66,102,9,8,2,50,37,64,57,6.44,326,38,94,9,0,8,37,8,3,10,1,35,25,10,9,0.288
1991,LOT,DJ,7,223,191,510.66,39,7,1,1,30,35,25,20,3.48,191,20,45,2,1,3,16,3,5,3,3,20,38,6,8,0.236
1991,LOT,MS,3,115,103,27,26,1,2,0,10,30,14,8,2.67,94,19,27,3,3,1,16,5,0,6,1,12,16,3,2,0.287
1991,LOT,MU,9,314,272,74,63,5,2,2,38,50,36,34,4.14,291,25,61,9,2,5,21,1,1,7,0,20,70,5,2,0.21
1991,LOT,SJ,60,2295,1985,546,497,25,39,17,254,297,267,246,4.05,1937,319,537,110,30,30,291,55,32,52,25,264,222,31,34,0.277
1991,LOT,IC,9,329,295,780.66,74,2,4,0,30,44,31,29,3.32,278,27,56,10,0,3,24,5,4,14,3,38,37,8,4,0.201
1991,LOT,JS,18,662,586,1580.33,154,8,18,4,54,77,70,59,3.35,606,77,151,17,7,13,72,9,7,21,8,72,59,10,15,0.249
1991,LOT,JJ,9,314,272,760.33,64,8,7,3,32,54,32,30,3.54,306,47,77,14,3,7,45,7,3,6,4,44,39,3,3,0.252
1991,LOT,CJ,2,120,94,26,23,3,2,0,24,13,19,18,6.23,99,11,24,3,0,3,11,4,2,3,2,13,9,2,1,0.242
1991,TPY,DG,9,329,292,760.33,83,6,5,4,28,37,38,32,3.77,302,41,79,12,0,2,35,22,5,8,3,39,49,2,6,0.262
1991,TPY,DJ,9,344,299,76,89,11,7,3,35,51,51,47,5.57,292,30,66,14,1,6,30,4,5,3,3,32,39,8,5,0.226
1991,TPY,MU,9,337,291,76,75,16,3,1,42,36,47,43,5.09,297,35,78,14,1,5,30,13,4,6,2,24,52,12,11,0.263
1991,TPY,SJ,9,335,276,76,76,3,15,4,40,33,42,38,4.5,286,26,64,17,3,1,25,9,7,10,2,38,48,5,5,0.224
1991,TPY,SW,6,301,253,70,63,4,8,4,36,35,37,36,4.63,234,16,45,8,2,0,14,5,3,7,0,30,27,4,4,0.192
1991,TPY,IC,57,2117,1837,507,455,44,39,11,230,284,223,199,3.53,1809,195,444,109,8,29,181,57,30,29,13,187,260,31,39,0.245
1991,TPY,JS,18,706,634,1660.33,163,9,6,3,63,74,76,64,3.46,600,56,136,22,8,5,54,24,13,10,4,71,90,10,14,0.227
1991,TPY,JJ,9,344,294,770.33,79,6,2,2,46,52,45,44,5.12,285,27,64,12,1,3,26,8,6,12,0,43,35,8,2,0.225
1991,LG,DG,9,354,303,79,82,8,7,2,42,34,48,42,4.78,309,37,78,7,0,7,35,7,3,6,0,36,26,12,5,0.252
1991,LG,DJ,9,349,306,820.33,72,9,2,0,41,46,39,32,3.5,314,14,65,9,0,1,13,4,9,3,2,24,38,6,8,0.207
1991,LG,MU,9,317,277,74,69,15,5,1,34,39,45,45,5.47,269,19,45,8,1,4,17,4,6,2,1,22,46,9,4,0.167
1991,LG,SJ,9,351,292,740.33,86,6,7,7,45,33,58,54,6.54,284,30,63,14,3,3,26,10,9,5,2,27,39,8,9,0.222
1991,LG,SW,3,105,93,25,23,0,4,0,8,5,10,7,2.52,94,14,20,5,0,3,13,5,5,3,1,14,11,0,0,0.213
1991,LG,IC,6,182,151,43,32,2,3,4,24,19,14,12,2.51,204,23,56,13,0,4,22,3,7,3,1,14,23,5,5,0.275
1991,LG,JS,72,2853,2517,667,665,42,50,20,266,404,330,292,3.94,2357,294,607,91,36,25,263,65,49,39,20,262,257,56,49,0.258
1991,LG,JJ,9,378,319,80,96,8,3,0,56,42,64,60,6.75,300,41,75,11,1,6,41,12,11,6,2,54,36,4,12,0.25
1991,SSB,GS,1,35,34,9,7,0,0,0,1,5,2,2,2,27,10,16,5,2,1,9,2,1,1,0,3,8,0,0,0.593
1991,SSB,DG,9,346,281,76,79,12,8,2,55,41,50,48,5.68,303,43,81,12,2,3,39,10,3,8,5,33,44,5,7,0.267
1991,SSB,DJ,6,214,179,51,38,5,2,1,32,32,19,18,3.18,198,25,52,7,0,4,24,6,9,1,2,28,45,2,1,0.263
1991,SSB,MS,3,113,94,25,27,1,6,1,12,16,19,10,3.6,103,14,26,6,3,1,12,0,2,2,0,10,30,1,6,0.252
1991,SSB,MU,9,323,282,75,67,11,2,1,38,42,42,40,4.8,284,24,51,10,3,6,21,4,3,3,2,25,72,5,7,0.18
1991,SSB,SJ,6,213,179,49,46,3,4,3,26,22,25,22,4.04,180,18,39,9,0,1,14,3,7,1,1,19,32,8,5,0.217
1991,SSB,IC,9,339,294,77,79,6,3,2,40,43,41,38,4.44,294,44,70,18,0,9,39,9,4,2,3,45,51,10,9,0.238
1991,SSB,JS,18,671,575,1510.33,164,7,13,1,82,79,89,79,4.7,585,55,123,18,6,8,52,16,14,6,3,78,94,11,19,0.21
1991,SSB,JJ,62,2491,2092,5610.33,576,69,54,15,330,250,344,310,4.97,2045,314,564,108,13,54,288,72,41,21,15,289,336,49,50,0.276
1991,SSB,CJ,3,93,85,25,18,2,3,1,4,21,7,6,2.16,95,7,19,5,1,0,7,8,3,1,2,11,14,2,2,0.2
