,Year,Coach,Rank,G,W,L,D,WR,AB,R,H,HR,SB,SH,SF,BB,HB,SO,AVG,CG,SHO,IP,HA,HRA,BBA,HBA,K,AR,ER,ERA,E,FA
NEX,2013,¿°°æ¿±,4,128,72,54,2,0.571,4294,646,1167,125,131,76,42,505,98,912,0.272,0,7,1146.33,1160,75,503,84,860,576,525,4.12,97,0.981
NEX,2014,¿°°æ¿±,2,128,78,48,2,0.619,4434,841,1323,199,100,65,40,523,101,849,0.298,0,3,1131.66,1299,142,516,61,901,716,660,5.25,79,0.984
NC,2013,±è°æ¹®,7,128,52,72,4,0.419,4282,512,1045,86,142,55,31,434,62,955,0.244,5,5,1144.33,1077,96,458,94,857,551,503,3.96,93,0.981
NC,2014,±è°æ¹®,3,128,70,57,1,0.551,4426,737,1249,143,154,44,51,443,67,918,0.282,3,4,1135.66,1174,117,481,73,848,608,541,4.29,87,0.982
MBC,1982,¹éÀÎÃµ,3,80,46,34,0,0.575,2686,419,757,65,134,32,27,268,47,316,0.282,19,9,708,660,52,259,47,392,359,276,3.51,105,0.967
MBC,1983,¹éÀÎÃµ,2,100,55,43,2,0.561,3327,412,847,46,128,70,31,283,60,370,0.255,31,11,908.66,787,45,298,44,366,335,274,2.71,107,0.974
MBC,1984,¾î¿ìÈ«,4,100,51,48,1,0.515,3317,375,840,47,99,47,35,314,40,446,0.253,38,7,897,876,59,275,43,355,374,317,3.18,85,0.979
MBC,1985,¾î¿ìÈ«,5,110,44,65,1,0.404,3624,345,892,37,129,56,29,324,39,452,0.246,27,7,982,902,63,385,44,353,408,354,3.24,94,0.979
MBC,1986,±èµ¿¿±,3,108,59,41,8,0.590,3644,434,964,37,116,89,35,315,55,428,0.265,11,15,984.33,880,45,341,32,415,361,305,2.79,97,0.978
MBC,1987,±èµ¿¿±,5,108,50,51,7,0.495,3566,388,919,36,91,85,28,296,43,353,0.258,20,9,971.66,966,48,335,50,372,407,363,3.36,92,0.979
MBC,1988,À¯¹é¸¸,6,108,40,64,4,0.389,3652,408,951,42,118,70,23,321,34,384,0.26,36,4,961.33,1038,69,373,46,347,491,423,3.96,105,0.976
MBC,1989,¹è¼º¼­,6,120,49,67,4,0.425,3912,490,985,42,172,85,42,470,40,489,0.252,8,2,1069.66,1139,61,455,46,451,581,508,4.27,122,0.974
LG,1990,¹éÀÎÃµ,1,120,71,49,0,0.592,4024,578,1089,61,140,56,50,465,65,450,0.271,19,14,1083,981,49,410,61,548,457,407,3.38,89,0.981
LG,1991,¹éÀÎÃµ,6,126,53,72,1,0.425,4131,472,1009,53,110,67,29,400,53,476,0.244,27,7,1124.66,1125,90,446,70,622,608,544,4.35,103,0.979
LG,1992,ÀÌ±¤È¯,7,126,53,70,3,0.433,4278,573,1100,108,89,64,31,441,46,574,0.257,21,6,1130.66,1171,83,487,65,648,616,539,4.29,125,0.975
LG,1993,ÀÌ±¤È¯,4,126,66,57,3,0.536,4182,496,1069,74,117,91,26,376,55,594,0.256,19,10,1126.66,1020,71,385,64,655,440,384,3.07,100,0.98
LG,1994,ÀÌ±¤È¯,1,126,81,45,0,0.643,4265,655,1204,88,143,54,41,455,70,573,0.282,24,12,1120,1007,68,332,60,581,452,391,3.14,102,0.979
LG,1995,ÀÌ±¤È¯,3,126,74,48,4,0.603,4137,527,1064,79,121,73,45,421,76,621,0.257,22,6,1122.33,996,62,322,58,607,456,400,3.21,104,0.979
LG,1996,ÀÌ±¤È¯,7,126,50,71,5,0.417,4203,525,1036,98,95,92,26,441,94,666,0.246,7,5,1128.66,1112,88,420,89,653,593,516,4.11,122,0.975
LG,1997,Ãµº¸¼º,2,126,73,51,2,0.587,4153,590,1109,83,136,97,57,422,90,601,0.267,4,10,1121.33,1045,101,369,74,708,512,471,3.78,94,0.981
LG,1998,Ãµº¸¼º,2,126,63,62,1,0.504,4243,609,1131,100,99,77,35,417,68,699,0.267,3,7,1121.33,1132,111,350,78,688,586,521,4.18,103,0.979
LG,1999,Ãµº¸¼º,6,132,61,70,1,0.466,4574,744,1287,145,99,57,43,428,78,772,0.281,2,6,1161.33,1301,157,511,78,813,773,708,5.49,99,0.98
LG,2000,ÀÌ±¤Àº,4,133,67,63,3,0.515,4532,687,1239,122,97,84,46,553,55,805,0.273,7,4,1185.66,1197,113,449,61,886,631,586,4.45,96,0.981
LG,2001,ÀÌ±¤Àº,6,133,58,67,8,0.464,4521,669,1247,85,96,114,41,590,52,759,0.276,0,3,1184.66,1253,127,647,69,765,732,670,5.09,103,0.98
LG,2002,±è¼º±Ù,2,133,66,61,6,0.520,4492,583,1173,100,140,93,37,412,86,951,0.261,2,9,1190.66,1119,135,501,100,896,575,520,3.93,91,0.982
LG,2003,ÀÌ±¤È¯,6,133,60,71,2,0.458,4375,509,1088,106,135,74,40,404,70,781,0.249,2,10,1169.66,1201,120,531,60,794,579,517,3.98,98,0.98
LG,2004,ÀÌ¼øÃ¶,6,133,59,70,4,0.457,4432,588,1150,102,69,73,40,441,95,892,0.259,3,6,1164.33,1235,116,543,64,783,637,557,4.31,104,0.979
LG,2005,ÀÌ¼øÃ¶,6,126,54,71,1,0.432,4222,601,1098,105,149,80,41,349,93,915,0.26,3,7,1102.33,1212,109,480,80,781,666,600,4.9,89,0.981
LG,2006,ÀÌ¼øÃ¶,8,126,47,75,4,0.385,4217,457,1037,81,84,92,32,330,52,813,0.246,3,10,1110,1144,87,439,60,625,574,521,4.22,82,0.983
LG,2007,±èÀç¹Ú,5,126,58,62,6,0.483,4322,532,1160,78,130,89,43,431,48,704,0.268,2,9,1135.66,1181,63,514,52,630,600,547,4.33,94,0.981
LG,2008,±èÀç¹Ú,8,126,46,80,0,0.365,4184,468,1070,66,111,85,50,364,59,765,0.256,1,9,1108.33,1239,82,480,72,631,646,597,4.85,76,0.984
LG,2009,±èÀç¹Ú,7,133,54,75,4,0.406,4505,670,1251,129,141,97,45,552,49,781,0.278,0,3,1175,1316,165,585,91,777,763,707,5.42,84,0.984
LG,2010,¹ÚÁ¾ÈÆ,6,133,57,71,5,0.429,4604,688,1270,121,169,82,44,486,54,907,0.276,3,8,1188,1279,125,560,104,793,746,690,5.23,92,0.982
LG,2011,¹ÚÁ¾ÈÆ,6,133,59,72,2,0.450,4522,579,1203,94,116,86,37,463,49,858,0.266,2,11,1193.66,1173,80,512,71,827,620,550,4.15,97,0.981
LG,2012,±è±âÅÂ,7,133,57,72,4,0.442,4539,544,1184,59,140,80,50,458,53,857,0.261,1,11,1202,1235,65,422,71,735,580,537,4.02,96,0.982
LG,2013,±è±âÅÂ,3,128,74,54,0,0.578,4291,616,1210,59,139,91,42,451,59,806,0.282,4,9,1134.66,1131,74,406,87,822,510,469,3.72,77,0.984
LG,2014,±è±âÅÂ,4,128,62,64,2,0.492,4349,668,1214,90,105,77,57,524,63,817,0.279,2,9,1142.66,1211,104,419,95,810,643,581,4.58,91,0.982
SK,2000,°­º´Ã¶,8,133,44,86,3,0.338,4492,602,1167,105,67,77,35,428,77,858,0.26,1,0,1165.66,1393,195,524,76,718,847,775,5.98,94,0.981
SK,2001,°­º´Ã¶,7,133,60,71,2,0.458,4400,596,1143,113,123,122,26,457,71,770,0.26,11,8,1171.33,1148,155,508,65,908,640,570,4.38,96,0.981
SK,2002,°­º´Ã¶,6,133,61,69,3,0.469,4475,618,1207,158,80,96,34,385,100,815,0.27,5,7,1179,1150,176,402,78,948,638,586,4.47,94,0.981
SK,2003,Á¶¹üÇö,2,133,66,64,3,0.508,4445,644,1208,156,82,127,32,464,89,763,0.272,3,10,1181.33,1190,135,497,83,759,642,583,4.44,90,0.983
SK,2004,Á¶¹üÇö,5,133,61,64,8,0.488,4499,655,1223,138,50,105,35,521,93,818,0.272,3,6,1186.33,1173,116,538,110,891,644,580,4.4,83,0.984
SK,2005,Á¶¹üÇö,3,126,70,50,6,0.583,4230,589,1139,122,101,136,38,495,85,806,0.269,2,10,1137,1005,103,422,99,843,485,431,3.41,80,0.983
SK,2006,Á¶¹üÇö,6,126,60,65,1,0.480,4177,509,1059,99,117,96,33,424,63,859,0.254,0,6,1124,1071,85,446,83,701,535,475,3.8,90,0.982
SK,2007,±è¼º±Ù,1,126,73,48,5,0.603,4236,603,1118,112,136,87,40,442,76,750,0.264,1,10,1139.33,1079,77,445,67,650,465,410,3.24,88,0.982
SK,2008,±è¼º±Ù,1,126,83,43,0,0.659,4332,632,1222,89,170,80,38,491,62,735,0.282,1,10,1151,1053,78,448,55,801,461,412,3.22,102,0.98
SK,2009,±è¼º±Ù,2,133,80,47,6,0.602,4574,732,1303,166,181,128,40,552,84,892,0.285,2,4,1213,1141,130,519,54,1032,550,494,3.67,94,0.982
SK,2010,±è¼º±Ù,1,133,84,47,2,0.632,4439,704,1217,120,161,147,44,485,98,813,0.274,2,11,1198.33,1074,117,543,47,1091,545,494,3.71,81,0.984
SK,2011,±è¼º±Ù,2,133,71,59,3,0.546,4404,584,1157,100,105,147,36,470,67,891,0.263,1,9,1192.33,1001,93,541,65,1006,522,476,3.59,68,0.986
SK,2012,ÀÌ¸¸¼ö,2,133,71,59,3,0.546,4347,564,1120,108,104,118,28,445,58,864,0.258,0,10,1181.33,1114,90,457,70,814,528,502,3.82,63,0.987
SK,2013,ÀÌ¸¸¼ö,6,128,62,63,3,0.496,4278,588,1134,124,144,83,37,465,86,918,0.265,4,8,1139,1091,101,505,70,878,571,527,4.16,84,0.983
SK,2014,ÀÌ¸¸¼ö,5,128,61,65,2,0.484,4423,735,1285,115,139,91,49,447,72,926,0.291,2,3,1129.33,1271,153,522,68,837,760,692,5.51,107,0.978
OB,1982,±è¿µ´ö,1,80,56,24,0,0.700,2745,399,778,57,106,46,18,247,41,254,0.283,32,5,725.33,625,41,289,33,317,318,258,3.2,98,0.971
OB,1983,±è¿µ´ö,5,100,44,55,1,0.444,3330,418,863,50,60,85,22,279,50,352,0.259,27,11,892.33,897,81,315,62,329,432,349,3.52,110,0.974
OB,1984,±è¼º±Ù,3,100,58,41,1,0.586,3183,382,816,53,111,62,34,339,43,367,0.256,14,12,885.33,720,51,331,44,445,298,249,2.53,82,0.98
OB,1985,±è¼º±Ù,4,110,51,57,2,0.472,3667,473,954,67,107,87,31,354,50,442,0.26,25,5,993,882,64,386,40,433,416,346,3.14,91,0.98
OB,1986,±è¼º±Ù,4,108,56,48,4,0.538,3531,369,880,38,78,104,29,336,39,395,0.249,29,17,975.66,820,43,390,29,394,341,283,2.61,95,0.979
OB,1987,±è¼º±Ù,4,108,55,52,1,0.514,3548,415,927,30,73,70,25,342,24,369,0.261,38,10,960.66,906,38,407,32,382,405,348,3.26,97,0.978
OB,1988,±è¼º±Ù,5,108,54,52,2,0.509,3584,418,923,44,87,78,31,321,28,375,0.258,17,13,969.33,933,69,381,35,388,447,402,3.73,81,0.981
OB,1989,ÀÌ±¤È¯,5,120,54,63,3,0.463,3935,447,970,42,135,82,32,389,42,559,0.247,18,10,1072.33,969,60,527,32,543,481,441,3.7,95,0.98
OB,1990,ÀÌ±¤È¯,7,120,35,80,5,0.313,3902,404,901,62,83,66,40,425,37,562,0.231,18,8,1055.66,1075,78,535,58,467,616,554,4.72,102,0.977
OB,1991,ÀÌÀç¿ì,8,126,51,73,2,0.413,4220,501,1054,59,136,91,22,419,35,639,0.25,28,7,1123.66,1093,82,506,55,479,593,526,4.21,117,0.976
OB,1992,À±µ¿±Õ,5,126,56,66,4,0.460,4225,547,1096,110,96,96,32,439,38,607,0.259,30,5,1127,1105,96,493,61,595,582,528,4.22,116,0.977
OB,1993,À±µ¿±Õ,3,126,66,55,5,0.544,4131,473,1066,59,86,118,39,403,48,611,0.258,26,12,1128,949,39,386,49,684,405,362,2.89,98,0.98
OB,1994,À±µ¿±Õ,7,126,53,72,1,0.425,4113,477,1013,75,81,93,33,364,53,712,0.246,28,11,1107.66,1042,56,404,58,670,507,426,3.46,116,0.976
OB,1995,±èÀÎ½Ä,1,126,74,47,5,0.607,4342,629,1154,106,121,62,40,357,52,741,0.266,22,11,1148.33,1031,68,399,56,701,500,437,3.42,106,0.978
OB,1996,±èÀÎ½Ä,8,126,47,73,6,0.397,4163,446,1008,82,78,75,29,327,59,721,0.242,14,11,1119.66,1044,81,441,58,666,520,459,3.69,104,0.979
OB,1997,±èÀÎ½Ä,5,126,57,64,5,0.472,4216,511,1070,84,143,70,31,382,69,718,0.254,8,10,1123,1090,67,453,67,784,551,479,3.84,115,0.977
OB,1998,±èÀÎ½Ä,4,126,61,62,3,0.496,4224,520,1080,102,123,65,34,338,56,713,0.256,15,7,1116.66,1054,88,425,55,774,506,447,3.6,91,0.981
DOO,1999,±èÀÎ½Ä,3,132,76,51,5,0.598,4587,721,1305,141,136,74,41,478,49,693,0.284,4,8,1188,1192,133,521,72,837,657,605,4.58,105,0.98
DOO,2000,±èÀÎ½Ä,2,133,76,57,0,0.571,4590,694,1325,150,115,43,47,475,58,684,0.289,3,4,1172.66,1190,104,517,56,829,616,550,4.22,114,0.977
DOO,2001,±èÀÎ½Ä,1,133,65,63,5,0.508,4583,732,1266,130,132,54,46,560,60,697,0.276,1,3,1180.33,1290,128,546,60,799,733,650,4.96,109,0.979
DOO,2002,±èÀÎ½Ä,5,133,66,65,2,0.504,4498,587,1173,130,106,47,46,434,58,794,0.261,3,6,1183,1139,99,479,60,954,562,517,3.93,88,0.983
DOO,2003,±èÀÎ½Ä,7,133,57,74,2,0.435,4536,563,1251,90,58,63,52,452,62,706,0.276,7,7,1175.66,1194,105,464,79,654,619,554,4.24,90,0.982
DOO,2004,±è°æ¹®,3,133,70,62,1,0.530,4485,606,1200,89,71,55,40,433,96,780,0.268,4,12,1177.66,1144,95,457,75,799,560,508,3.88,88,0.983
DOO,2005,±è°æ¹®,2,126,72,51,3,0.585,4256,596,1147,63,103,81,35,465,85,701,0.27,2,14,1125,1038,90,440,77,818,465,427,3.42,80,0.983
DOO,2006,±è°æ¹®,5,126,63,60,3,0.512,4147,455,1068,55,132,81,27,368,83,635,0.258,7,10,1115.66,968,69,424,69,834,467,416,3.36,95,0.98
DOO,2007,±è°æ¹®,2,126,70,54,2,0.565,4199,578,1103,78,161,68,51,449,88,748,0.263,6,14,1131.33,1067,74,399,75,721,480,432,3.44,73,0.985
DOO,2008,±è°æ¹®,2,126,70,56,0,0.556,4344,647,1198,68,189,36,44,472,78,719,0.276,0,8,1134.66,1115,78,379,69,780,542,490,3.89,92,0.981
DOO,2009,±è°æ¹®,3,133,71,60,2,0.534,4591,722,1286,120,129,26,40,522,86,849,0.28,1,6,1186.33,1221,120,515,75,862,662,607,4.6,83,0.984
DOO,2010,±è°æ¹®,3,133,73,57,3,0.549,4538,731,1276,149,128,54,38,533,89,834,0.281,2,7,1179.66,1190,135,437,85,888,669,606,4.62,91,0.982
DOO,2011,±è°æ¹®,5,133,61,70,2,0.466,4498,614,1221,92,130,73,39,513,81,799,0.271,4,7,1188.66,1231,96,476,75,855,619,563,4.26,81,0.984
DOO,2012,±èÁø¿í,3,133,68,62,3,0.523,4379,524,1139,59,116,102,40,362,54,659,0.26,9,12,1193.33,1053,66,491,57,802,519,475,3.58,78,0.985
DOO,2013,±èÁø¿í,2,128,71,54,3,0.568,4401,699,1271,95,172,82,56,524,79,717,0.289,1,8,1150.33,1183,84,514,76,848,625,584,4.57,61,0.988
DOO,2014,¼ÛÀÏ¼ö,6,128,59,68,1,0.465,4427,687,1299,108,111,81,43,468,64,731,0.293,4,2,1123.66,1311,121,450,58,840,733,678,5.43,81,0.983
LOT,1982,¹Ú¿µ±æ,5,80,31,49,0,0.388,2628,353,674,59,83,41,27,326,40,315,0.256,26,4,713.66,763,69,261,29,362,385,313,3.95,97,0.969
LOT,1983,¹Ú¿µ±æ,6,100,43,56,1,0.434,3291,365,803,77,76,57,25,307,41,423,0.244,29,5,897.66,935,90,260,47,414,464,378,3.79,125,0.969
LOT,1984,°­º´Ã¶,1,100,50,48,2,0.510,3265,405,840,71,108,56,28,326,48,446,0.257,26,3,880.66,865,75,300,40,453,390,324,3.31,96,0.976
LOT,1985,°­º´Ã¶,2,110,59,51,0,0.536,3598,426,920,77,79,106,34,352,47,445,0.256,32,15,992.33,936,60,324,44,513,420,336,3.05,111,0.975
LOT,1986,°­º´Ã¶,5,108,50,52,6,0.490,3603,373,894,37,89,100,19,342,24,357,0.248,33,6,983.66,896,48,325,49,520,360,299,2.74,94,0.979
LOT,1987,¼º±â¿µ,3,108,54,49,5,0.523,3625,432,970,40,99,86,20,390,34,330,0.268,51,14,975.66,971,40,331,34,504,404,364,3.36,77,0.982
LOT,1988,¾î¿ìÈ«,3,108,57,49,2,0.537,3578,482,967,68,127,104,24,347,40,333,0.27,30,9,969.33,968,56,330,32,477,449,391,3.63,92,0.979
LOT,1989,¾î¿ìÈ«,7,120,48,67,5,0.421,3939,419,974,38,100,98,27,519,29,520,0.247,36,7,1076,1072,68,390,50,508,522,467,3.91,99,0.98
LOT,1990,±èÁø¿µ,6,120,44,71,5,0.388,3858,453,946,41,125,119,31,464,48,501,0.245,19,6,1062.66,1062,83,446,56,487,585,524,4.44,102,0.977
LOT,1991,°­º´Ã¶,4,126,61,62,3,0.496,4128,583,1072,73,97,122,47,457,61,515,0.26,37,6,1117.66,1042,68,470,52,637,558,501,4.03,92,0.981
LOT,1992,°­º´Ã¶,1,126,71,55,0,0.563,4205,663,1213,68,130,103,53,483,59,542,0.288,39,7,1113.66,1152,99,410,37,581,581,529,4.28,87,0.982
LOT,1993,°­º´Ã¶,6,126,62,63,1,0.496,4077,452,1013,29,174,114,41,389,53,563,0.248,44,18,1120.66,1088,57,348,30,512,462,415,3.33,95,0.981
LOT,1994,±è¿ëÈñ,6,126,56,67,3,0.456,4175,489,1072,58,175,57,48,378,52,672,0.257,14,8,1112.33,1156,101,419,44,590,604,549,4.44,95,0.981
LOT,1995,±è¿ëÈñ,2,126,68,53,5,0.560,4197,590,1071,65,220,56,59,447,71,726,0.255,19,12,1137.33,1049,83,328,53,642,493,439,3.47,75,0.985
LOT,1996,±è¿ëÈñ,5,126,57,63,6,0.476,4244,566,1161,72,139,82,38,398,50,692,0.274,22,6,1120.66,1127,93,397,55,684,580,518,4.16,93,0.981
LOT,1997,±è¿ëÈñ,8,126,48,77,1,0.385,4066,434,962,75,110,88,29,359,56,801,0.237,9,4,1111.33,1155,116,464,47,640,621,566,4.58,110,0.978
LOT,1998,±è¿ëÈñ,8,126,50,72,4,0.410,4188,536,1070,86,76,89,32,403,68,829,0.255,20,7,1114,1149,115,381,74,693,646,570,4.61,102,0.979
LOT,1999,±è¸í¼º,2,132,75,52,5,0.591,4498,753,1309,145,98,99,52,465,72,815,0.291,15,8,1178,1125,146,431,54,852,590,547,4.18,92,0.982
LOT,2000,±è¸í¼º,5,133,65,64,4,0.504,4557,603,1186,104,92,82,24,449,66,831,0.26,8,14,1196.66,1136,129,442,53,917,579,534,4.02,105,0.98
LOT,2001,±è¸í¼º,8,133,59,70,4,0.457,4521,718,1265,121,106,82,60,585,60,817,0.28,0,3,1171.66,1238,128,523,61,790,670,609,4.68,99,0.981
LOT,2002,¿ì¿ëµæ,8,133,35,97,1,0.265,4512,463,1105,85,76,49,22,324,78,978,0.245,5,7,1168,1269,130,443,83,775,710,612,4.72,117,0.977
LOT,2003,¹éÀÎÃµ,8,133,39,91,3,0.300,4465,491,1143,73,84,83,28,338,73,848,0.256,3,4,1164.33,1302,171,435,93,647,709,648,5.01,104,0.98
LOT,2004,¾ç»ó¹®,8,133,50,72,11,0.410,4462,533,1125,88,129,74,31,416,92,853,0.252,4,8,1190.33,1216,109,449,76,753,608,558,4.22,87,0.983
LOT,2005,¾ç»ó¹®,5,126,58,67,1,0.464,4177,500,1058,83,88,94,20,361,70,856,0.253,2,6,1120.33,1097,91,408,89,817,573,535,4.3,98,0.98
LOT,2006,°­º´Ã¶,7,126,50,73,3,0.407,4137,488,1034,88,62,124,21,418,65,815,0.25,5,9,1118.66,1128,83,410,60,637,541,480,3.86,84,0.983
LOT,2007,°­º´Ã¶,7,126,55,68,3,0.447,4273,533,1152,76,67,104,39,405,73,763,0.27,2,9,1120.66,1164,93,414,69,704,554,513,4.12,82,0.983
LOT,2008,·ÎÀÌ½ºÅÍ,3,126,69,57,0,0.548,4256,624,1200,93,133,62,51,445,76,728,0.282,9,5,1119,1134,70,409,47,671,518,453,3.64,92,0.981
LOT,2009,·ÎÀÌ½ºÅÍ,4,133,66,67,0,0.496,4420,637,1223,121,106,60,49,456,68,816,0.277,6,13,1162.33,1290,139,487,67,722,669,613,4.75,96,0.981
