NAME,YEAR,TEAM,G,ABA,AB,R,H,_2B,_3B,HR,TB,RBI,BB,IBB,HBP,SO,SH,SF,SB,CS,GIDP,E,AVG,SLG,OBP,OPS,SBR,pos3,pos4,pos5,pos6,pos2,pos8
강민호,2010,LOT,117,465,410,66,125,19,1,23,215,72,42,1,8,65,0,5,2,7,16,11,0.305,0.524,0.376,0.9,0.222,,,,,116,
강민호,2011,LOT,124,506,450,63,130,25,2,19,216,66,47,2,8,81,0,1,4,6,18,15,0.289,0.48,0.366,0.846,0.4,,,,,122,
강민호,2012,LOT,119,454,400,41,109,21,0,19,187,66,44,2,8,97,0,2,0,1,9,3,0.273,0.468,0.355,0.823,0,,,,,114,
강민호,2013,LOT,105,405,327,48,77,13,0,11,123,57,60,3,11,87,1,6,4,1,5,8,0.235,0.376,0.366,0.742,0.8,,,,,98,
강민호,2014,LOT,98,360,310,37,71,14,2,16,137,40,33,3,13,92,0,4,1,2,6,3,0.229,0.442,0.325,0.767,0.333,,,,,91,
강병식,2010,NEX,107,300,251,32,72,9,1,9,110,30,34,2,11,51,1,3,2,2,5,0,0.287,0.438,0.391,0.829,0.5,20,,,,,13
강병식,2011,NEX,77,189,167,16,29,8,1,2,45,17,15,0,2,53,4,1,2,0,3,0,0.174,0.269,0.249,0.518,1,14,,,,,9
강병식,2012,NEX,26,36,30,4,6,2,0,0,8,2,5,0,1,9,0,0,1,1,0,0,0.2,0.267,0.333,0.6,0.5,,,,,,8
강병우,2010,NEX,11,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0.5,0.5,0.5,1,0.5,,,,,,6
강봉규,2010,SAM,89,279,232,38,55,12,0,4,79,26,40,0,2,44,4,1,8,0,8,4,0.237,0.341,0.353,0.694,1,15,,,,,66
강봉규,2011,SAM,52,168,146,14,39,7,1,1,51,18,17,0,2,24,0,2,3,1,3,1,0.267,0.349,0.347,0.696,0.75,1,,,,,45
강봉규,2012,SAM,102,274,235,30,60,10,1,6,90,38,28,1,2,49,3,6,5,3,5,2,0.255,0.383,0.332,0.715,0.625,19,,,,,70
강봉규,2013,SAM,32,99,82,11,17,5,0,0,22,5,14,0,1,19,1,1,3,0,5,0,0.207,0.268,0.327,0.595,1,18,,,,,9
강영식,2013,LOT,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
강정호,2010,NEX,133,522,449,60,135,30,2,12,205,58,61,6,7,87,3,2,2,2,14,23,0.301,0.457,0.391,0.848,0.5,,,,129,,
강정호,2011,NEX,123,504,444,53,125,22,2,9,178,63,43,4,9,62,3,5,4,6,12,13,0.282,0.401,0.353,0.754,0.4,,,,123,1,
강정호,2012,NEX,124,519,436,77,137,32,0,25,244,82,71,8,6,78,1,5,21,5,16,12,0.314,0.56,0.413,0.973,0.808,,,,115,,
강정호,2013,NEX,126,532,450,67,131,21,1,22,220,96,68,3,6,109,2,6,15,8,18,15,0.291,0.489,0.387,0.876,0.652,,,,124,,
강정호,2014,NEX,117,501,418,103,149,36,2,40,309,117,68,2,13,106,0,2,3,3,8,9,0.356,0.739,0.459,1.198,0.5,,,,113,,
강지광,2014,NEX,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1
강진성,2013,NC,3,3,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0.667,1.667,,,,,,,
강한울,2014,KIA,93,224,208,32,55,5,4,0,68,14,8,0,1,44,6,1,4,2,1,11,0.264,0.327,0.294,0.621,0.667,,12,1,80,,
고도현,2013,LOT,4,4,4,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,,,,,,,
고도현,2014,LOT,4,7,7,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0.286,0.286,0.286,0.572,,,,,,,4
고동진,2011,HAN,97,222,195,31,49,9,0,3,67,19,15,0,5,33,6,1,3,2,5,2,0.251,0.344,0.319,0.663,0.6,,,,,,70
고동진,2012,HAN,110,334,281,32,76,12,0,3,97,29,38,1,5,48,10,0,8,9,10,1,0.27,0.345,0.367,0.712,0.471,,,,,,102
고동진,2013,HAN,93,360,312,31,85,14,0,1,102,31,34,0,6,54,3,5,4,8,11,2,0.272,0.327,0.35,0.677,0.333,,,,,,86
고동진,2014,HAN,73,213,187,21,45,5,0,1,53,14,18,0,2,35,3,3,0,2,2,2,0.241,0.283,0.31,0.593,0,,,,,,63
고영민,2010,DOO,100,344,293,53,60,10,1,6,90,35,34,1,14,67,2,1,11,3,4,7,0.205,0.307,0.316,0.623,0.786,,94,,,,
고영민,2011,DOO,93,208,176,31,37,5,1,3,53,16,18,0,7,50,5,2,6,6,4,5,0.21,0.301,0.305,0.606,0.5,,82,,,,
고영민,2012,DOO,58,173,151,33,40,10,1,3,61,26,13,0,3,28,5,0,7,1,5,5,0.265,0.404,0.335,0.739,0.875,,51,,,,
고영민,2013,DOO,10,17,14,3,4,1,0,1,8,1,3,1,0,5,0,0,1,0,1,0,0.286,0.571,0.412,0.983,1,,6,,,,2
고영민,2014,DOO,52,108,94,18,27,2,0,1,32,7,11,0,0,18,1,2,1,1,3,2,0.287,0.34,0.355,0.695,0.5,,41,,,,
고영우,2013,KIA,29,11,11,7,1,0,0,0,1,0,0,0,0,6,0,0,2,1,0,0,0.091,0.091,0.091,0.182,0.667,,,5,16,,
고영우,2014,KIA,21,27,24,4,2,2,0,0,4,1,1,0,1,6,0,1,0,0,0,4,0.083,0.167,0.148,0.315,,,1,1,19,,
고종욱,2011,NEX,54,111,105,12,26,5,4,1,42,9,5,0,0,26,0,1,7,6,0,0,0.248,0.4,0.279,0.679,0.538,,,,,,26
고종욱,2014,NEX,8,14,12,2,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0.143,0.143,1,,,,,,4
국해성,2012,DOO,3,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,3
권도영,2010,NEX,37,72,61,7,15,3,0,0,18,4,7,0,0,15,4,0,0,1,1,0,0.246,0.295,0.324,0.619,0,,27,1,,,
권영준,2012,LOT,11,14,13,2,3,0,0,0,3,0,0,0,1,6,0,0,0,0,0,0,0.231,0.231,0.286,0.517,,,3,3,,,
권영진,2012,SK,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,
권용관,2010,SK,61,180,154,14,35,6,1,3,52,21,14,0,1,34,9,2,2,2,2,3,0.227,0.338,0.292,0.63,0.5,,36,1,30,,
권용관,2011,SK,28,68,57,8,12,3,1,1,20,10,6,0,1,23,4,0,0,1,0,1,0.211,0.351,0.297,0.648,0,,15,8,5,,
권용관,2012,SK,3,5,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.2,0.2,0.2,0.4,,,,,2,,
권용관,2013,LG,68,122,104,19,24,6,0,4,42,13,12,0,1,29,5,0,1,0,1,3,0.231,0.404,0.316,0.72,1,2,21,31,20,,
권용관,2014,LG,8,21,17,0,2,1,0,0,3,2,1,0,0,5,2,1,0,0,1,1,0.118,0.176,0.158,0.334,,,,,8,,
권희동,2013,NC,121,397,349,42,71,19,1,15,137,54,36,0,2,75,7,3,4,1,6,3,0.203,0.393,0.279,0.672,0.8,,,,,,112
권희동,2014,NC,101,252,221,39,63,10,2,7,98,36,25,2,3,43,1,2,6,1,4,2,0.285,0.443,0.363,0.806,0.857,,,,,1,89
김강,2010,HAN,14,26,24,2,10,2,0,0,12,4,2,0,0,4,0,0,0,0,1,0,0.417,0.5,0.462,0.962,,9,,,,,
김강,2011,HAN,8,23,19,0,2,1,0,0,3,1,3,0,1,6,0,0,0,0,0,1,0.105,0.158,0.261,0.419,,7,,,,,
김강민,2010,SK,115,450,401,74,127,19,2,10,180,72,33,0,2,51,11,3,23,9,5,1,0.317,0.449,0.369,0.818,0.719,,,,,,115
김강민,2011,SK,80,310,281,37,79,14,1,8,119,33,20,1,2,56,5,2,9,4,3,2,0.281,0.423,0.331,0.754,0.692,,,,,1,75
김강민,2012,SK,123,474,427,49,116,20,0,5,151,31,29,0,4,72,11,3,11,10,7,2,0.272,0.354,0.322,0.676,0.524,,,,,,121
김강민,2013,SK,105,397,352,39,106,22,3,10,164,55,36,2,4,54,2,3,10,6,10,3,0.301,0.466,0.37,0.836,0.625,,,,,,100
김강민,2014,SK,113,483,430,86,130,29,3,16,213,82,43,0,4,91,2,4,32,5,12,3,0.302,0.495,0.368,0.863,0.865,,,,,,112
김강석,2010,HAN,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,2,,,,
김경근,2013,SK,5,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
김경모,2012,SAM,9,4,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,6,,,,
김경언,2010,HAN,50,184,158,19,40,7,2,0,51,11,23,1,0,29,2,1,8,4,2,2,0.253,0.323,0.346,0.669,0.667,8,,,,,47
김경언,2011,HAN,81,204,173,22,42,4,0,2,52,15,25,0,1,39,4,1,5,5,3,2,0.243,0.301,0.34,0.641,0.5,10,,,,,66
김경언,2012,HAN,110,313,268,25,65,14,2,4,95,31,39,2,1,73,4,1,7,4,1,0,0.243,0.354,0.34,0.694,0.636,17,,,,,87
김경언,2013,HAN,70,249,214,24,59,14,1,1,78,24,26,0,3,53,1,5,2,5,5,1,0.276,0.364,0.355,0.719,0.286,1,,,,,69
김경언,2014,HAN,89,355,300,43,94,16,3,8,140,52,40,0,4,42,7,4,1,3,8,2,0.313,0.467,0.397,0.864,0.25,6,,,,,84
김광삼,2012,LG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
김광연,2013,KIA,4,8,8,2,5,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0.625,0.625,0.625,1.25,,,1,,2,,
김광연,2014,KIA,8,10,10,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,3,1,1,,
김광현,2010,SK,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
김남형,2012,NEX,6,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,2
김다원,2010,KIA,45,60,56,9,8,0,0,2,14,2,2,0,2,19,0,0,1,0,2,1,0.143,0.25,0.2,0.45,1,1,,,,,37
김다원,2011,KIA,19,10,9,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0.1,0.1,,,,,,,16
김다원,2014,KIA,86,210,189,21,51,13,1,5,81,17,12,0,5,53,3,1,2,2,3,1,0.27,0.429,0.329,0.758,0.5,,,,,,78
김대우,2012,LOT,6,7,7,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,,1,,,,,1
김대우,2013,LOT,69,216,180,23,43,15,2,4,74,27,33,1,2,66,0,1,4,3,4,1,0.239,0.411,0.361,0.772,0.571,,,,,,8
김대우,2014,LOT,18,26,25,0,6,0,0,0,6,2,1,0,0,12,0,0,1,0,0,0,0.24,0.24,0.269,0.509,1,,,,,,5
김도현,2011,NEX,3,10,8,0,4,0,0,0,4,1,2,0,0,2,0,0,0,1,0,0,0.5,0.5,0.6,1.1,0,,,,,,2
김도현,2012,SK,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,2
김도현,2013,SK,2,5,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,,,,,,,1
김도현,2014,SK,7,13,12,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0.083,0.083,0.154,0.237,,,,,,,1
김동건,2013,NC,8,17,16,1,2,0,0,1,5,1,1,0,0,7,0,0,0,0,0,2,0.125,0.313,0.176,0.489,,1,,6,,,
김동길,2010,DOO,8,5,5,2,2,1,1,0,5,1,0,0,0,3,0,0,0,0,0,1,0.4,1,0.4,1.4,,,,1,4,,
김동길,2011,DOO,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,,,1,2,2,,
김동명,2012,SAM,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,,,,,,1,
김동명,2013,SAM,4,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,,,,,,2,
김동영,2010,HAN,3,9,7,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0.222,0.222,,,,,,,3
김동주,2010,DOO,110,470,387,60,114,22,0,20,196,67,67,4,10,45,1,5,0,1,15,4,0.295,0.506,0.407,0.913,0,,,33,,,
김동주,2011,DOO,120,483,406,57,116,24,1,17,193,75,66,5,8,54,0,3,6,1,18,3,0.286,0.475,0.393,0.868,0.857,1,,29,,,
김동주,2012,DOO,66,245,223,18,65,5,0,2,76,27,16,0,2,24,0,4,3,1,7,0,0.291,0.341,0.339,0.68,0.75,,,1,,,
김동주,2013,DOO,28,101,82,6,21,2,0,1,26,9,10,0,5,9,0,4,1,0,4,1,0.256,0.317,0.356,0.673,1,,,26,,,
김동한,2012,DOO,10,8,8,3,3,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0.375,0.375,0.375,0.75,1,,1,3,,,
김동한,2013,DOO,26,22,20,9,7,2,1,1,14,4,2,0,0,2,0,0,5,0,0,1,0.35,0.7,0.409,1.109,1,,9,4,2,,
김문호,2011,LOT,19,29,26,4,6,1,0,0,7,1,3,1,0,7,0,0,1,1,0,0,0.231,0.269,0.31,0.579,0.5,,,,,,12
김문호,2012,LOT,56,95,79,10,16,3,0,0,19,2,11,1,3,22,2,0,1,3,1,0,0.203,0.241,0.323,0.564,0.25,,,,,,40
김문호,2013,LOT,40,166,137,19,36,10,0,0,46,10,21,0,3,31,5,0,8,5,1,3,0.263,0.336,0.373,0.709,0.615,,,,,,38
김문호,2014,LOT,71,222,192,28,41,11,3,2,64,27,19,0,5,51,6,0,4,0,2,4,0.214,0.333,0.301,0.634,1,,,,,,65
김민성,2010,NEX,80,223,180,26,36,4,0,2,46,12,18,1,11,41,13,1,1,0,6,3,0.2,0.256,0.31,0.566,1,,30,9,43,,
김민성,2011,NEX,124,373,314,37,74,10,1,4,98,23,26,0,9,51,22,2,12,3,4,8,0.236,0.312,0.311,0.623,0.8,,117,,9,,
김민성,2012,NEX,71,254,219,24,62,9,0,4,83,22,17,0,6,58,8,4,7,2,2,3,0.283,0.379,0.346,0.725,0.778,,,58,17,,
김민성,2013,NEX,128,523,458,60,129,24,2,15,202,72,42,1,16,84,3,4,7,7,11,13,0.282,0.441,0.36,0.801,0.5,,3,123,6,,
김민성,2014,NEX,116,486,438,60,128,29,2,12,197,77,30,1,10,80,5,3,3,1,10,8,0.292,0.45,0.349,0.799,0.75,,4,102,2,,
김민수,2014,HAN,35,78,74,5,11,1,0,0,12,5,3,0,0,21,1,0,0,0,1,5,0.149,0.162,0.182,0.344,,,,,,35,
김민우,2010,NEX,128,536,447,64,115,20,3,9,168,44,61,0,9,85,16,3,28,6,11,7,0.257,0.376,0.356,0.732,0.824,,53,87,6,,
김민우,2011,NEX,126,535,466,66,115,22,0,6,155,31,48,1,2,100,17,2,23,9,7,14,0.247,0.333,0.319,0.652,0.719,,14,120,,,
김민우,2012,NEX,69,230,197,20,45,6,2,5,70,25,22,1,3,49,6,2,5,4,2,8,0.228,0.355,0.313,0.668,0.556,2,5,50,,,
김민우,2013,NEX,33,55,48,5,14,1,1,0,17,11,5,0,1,8,0,1,1,1,1,3,0.292,0.354,0.364,0.718,0.5,12,,16,,,1
김민우,2014,KIA,87,210,167,34,42,10,0,3,61,15,36,0,1,46,6,0,7,2,2,8,0.251,0.365,0.387,0.752,0.778,36,12,9,43,,
김민하,2011,LOT,2,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
김민하,2014,LOT,55,98,94,23,25,8,0,2,39,7,2,0,1,34,1,0,3,1,0,1,0.266,0.415,0.289,0.704,0.75,,,,,,50
김사훈,2012,LOT,17,15,15,0,4,1,0,0,5,2,0,0,0,7,0,0,0,0,0,0,0.267,0.333,0.267,0.6,,,,,,17,
김사훈,2013,LOT,17,35,29,2,3,1,0,0,4,1,4,0,1,8,1,0,0,0,1,1,0.103,0.138,0.235,0.373,,,,,,17,
김사훈,2014,LOT,4,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.666,,,,,,4,
김상수,2010,SAM,101,338,282,37,69,7,3,0,82,22,31,0,12,45,12,1,30,6,10,8,0.245,0.291,0.344,0.635,0.833,,2,3,94,,
김상수,2011,SAM,128,476,406,53,113,16,4,2,143,47,47,1,7,61,15,1,29,7,7,22,0.278,0.352,0.362,0.714,0.806,,,,126,,
김상수,2012,SAM,129,489,419,64,115,18,4,2,147,36,41,1,7,56,16,6,25,11,8,14,0.274,0.351,0.345,0.696,0.694,,,,129,,
김상수,2013,SAM,115,422,372,57,111,17,3,7,155,44,30,1,5,44,9,6,14,5,7,16,0.298,0.417,0.354,0.771,0.737,,,,115,,
김상수,2014,SAM,128,493,427,74,123,20,8,5,174,63,41,1,7,77,10,8,53,6,7,14,0.288,0.407,0.354,0.761,0.898,,,,128,,
김상현,2010,KIA,79,330,288,44,62,5,1,21,132,53,33,1,8,85,0,1,3,1,10,7,0.215,0.458,0.312,0.77,0.75,11,,49,,,
김상현,2011,KIA,101,405,357,38,91,15,0,14,148,64,37,1,9,83,0,2,8,0,12,7,0.255,0.415,0.338,0.753,1,16,,,,,77
김상현,2012,KIA,32,126,116,17,30,9,0,4,51,17,6,0,3,26,1,0,1,2,3,0,0.259,0.44,0.312,0.752,0.333,,,,,,22
김상현,2013,SK,113,360,322,39,76,17,0,7,114,37,29,1,4,84,1,4,8,1,17,8,0.236,0.354,0.304,0.658,0.889,2,,6,,,61
김상현,2014,SK,42,87,80,8,21,3,1,5,41,20,5,0,1,22,0,1,1,1,2,2,0.263,0.513,0.31,0.823,0.5,1,,,,,25
김상호,2012,LOT,8,15,12,1,2,0,0,0,2,0,3,0,0,5,0,0,0,0,0,1,0.167,0.167,0.333,0.5,,7,,,,,
김상호,2013,LOT,25,50,44,5,9,3,0,0,12,3,5,0,0,11,0,1,0,0,1,0,0.205,0.273,0.28,0.553,,7,,,,,
김상훈,2010,KIA,107,354,300,25,73,11,0,4,96,39,34,0,4,43,14,2,1,2,11,11,0.243,0.32,0.326,0.646,0.333,,,,,97,
김상훈,2011,KIA,67,150,123,19,24,3,0,3,36,16,24,0,1,26,1,1,0,0,2,2,0.195,0.293,0.329,0.622,,,,,,57,
김상훈,2012,KIA,80,192,163,11,28,5,0,2,39,20,18,1,2,39,9,0,0,0,5,2,0.172,0.239,0.262,0.501,,,,,,77,
김상훈,2013,KIA,49,108,87,7,20,4,0,0,24,8,13,0,1,17,5,2,0,0,3,1,0.23,0.276,0.33,0.606,,,,,,49,
김상훈,2014,KIA,9,12,10,0,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0.1,0.1,0.25,0.35,,,,,,9,
김선빈,2010,KIA,115,406,348,40,102,14,2,1,123,28,34,0,6,44,14,4,23,7,5,14,0.293,0.353,0.362,0.715,0.767,,1,1,100,,
김선빈,2011,KIA,98,412,335,58,97,12,2,4,125,47,50,0,2,42,20,5,22,9,8,9,0.29,0.373,0.38,0.753,0.71,,,,98,,
김선빈,2012,KIA,126,532,441,63,124,19,2,5,162,55,58,0,2,48,25,6,30,12,9,13,0.281,0.367,0.363,0.73,0.714,,,,123,,
김선빈,2013,KIA,88,363,310,51,93,12,0,1,108,29,39,0,2,26,8,4,28,14,10,9,0.3,0.348,0.377,0.725,0.667,,,,87,,
김선빈,2014,KIA,33,98,93,7,27,4,0,0,31,9,3,0,0,10,2,0,2,0,3,1,0.29,0.333,0.313,0.646,1,,,,32,,
김성욱,2013,NC,4,4,4,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,,,,,,,
김성욱,2014,NC,26,26,23,6,4,1,0,1,8,1,3,0,0,9,0,0,1,0,0,0,0.174,0.348,0.269,0.617,1,,,,,,19
김성현,2010,NEX,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
김성현,2011,SK,10,10,9,3,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,,3,,1,,
김성현,2012,SK,88,191,163,28,39,8,3,2,59,14,12,0,5,26,11,0,6,2,2,6,0.239,0.362,0.311,0.673,0.75,,25,6,57,,1
김성현,2013,SK,97,181,162,27,35,7,1,1,47,16,16,0,1,28,2,0,2,6,6,2,0.216,0.29,0.291,0.581,0.25,,35,2,72,,
김성현,2014,SK,122,476,398,73,113,20,1,5,150,43,55,0,7,51,10,6,6,3,7,18,0.284,0.377,0.376,0.753,0.667,,1,1,122,,
김승회,2010,DOO,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
김연훈,2010,SK,73,146,136,20,33,4,1,0,39,4,2,0,1,14,7,0,8,4,2,2,0.243,0.287,0.259,0.546,0.667,,19,10,42,,
김연훈,2011,SK,84,170,149,15,28,3,0,1,34,13,7,0,6,40,6,2,2,6,4,5,0.188,0.228,0.25,0.478,0.25,,42,2,32,,
김영관,2012,LG,6,14,13,0,1,0,0,0,1,2,1,0,0,3,0,0,1,0,0,0,0.077,0.077,0.143,0.22,1,,5,,1,,
김영관,2013,LG,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,,,
김영관,2014,LG,13,7,6,2,1,0,1,0,3,1,1,0,0,4,0,0,0,0,0,1,0.167,0.5,0.286,0.786,,,,10,3,,
김영훈,2012,SAM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,1,,
김용섭,2011,SK,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
김용의,2012,LG,83,219,194,22,48,4,0,2,58,21,17,1,0,50,5,3,5,4,1,5,0.247,0.299,0.304,0.603,0.556,42,2,27,1,,7
김용의,2013,LG,109,348,301,42,83,6,5,5,114,34,34,2,0,58,10,3,21,7,6,1,0.276,0.379,0.346,0.725,0.75,86,11,20,,,1
김용의,2014,LG,103,208,183,31,44,7,1,0,53,22,19,0,2,46,3,1,9,7,2,6,0.24,0.29,0.317,0.607,0.563,40,45,16,,,
김용호,2011,HAN,2,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,
김원섭,2010,KIA,111,428,353,43,84,16,3,5,121,28,56,0,2,63,16,1,15,6,5,3,0.238,0.343,0.345,0.688,0.714,,,,,,109
김원섭,2011,KIA,87,316,269,36,73,18,2,2,101,30,32,1,0,28,10,5,1,3,4,0,0.271,0.375,0.343,0.718,0.25,,,,,,79
김원섭,2012,KIA,120,472,386,60,117,21,4,3,155,61,69,1,2,54,12,3,8,4,12,0,0.303,0.402,0.409,0.811,0.667,1,,,,,111
김원섭,2013,KIA,42,119,96,12,18,8,0,1,29,12,23,0,0,20,0,0,1,0,0,2,0.188,0.302,0.345,0.647,1,,,,,,39
김원섭,2014,KIA,44,101,80,21,18,4,1,0,24,13,17,0,0,13,2,2,3,1,2,0,0.225,0.3,0.354,0.654,0.75,,,,,,36
김응민,2014,DOO,11,12,10,0,2,0,0,0,2,3,0,0,2,1,0,0,0,0,0,0,0.2,0.2,0.333,0.533,,,,,,10,
김일경,2010,NEX,104,220,195,30,49,13,1,4,76,21,8,0,4,42,12,1,21,6,2,5,0.251,0.39,0.293,0.683,0.778,,89,,,,
김일경,2011,NEX,41,48,47,11,12,0,0,0,12,0,1,0,0,13,0,0,9,7,1,2,0.255,0.255,0.271,0.526,0.563,,21,,,,
김일경,2012,LG,44,94,82,10,18,2,0,1,23,12,9,0,0,18,3,0,4,1,2,2,0.22,0.28,0.297,0.577,0.8,,29,7,2,,
김재민,2013,LG,10,8,8,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0.125,0.125,0.125,0.25,,,,,,10,
김재민,2014,LG,38,18,16,0,1,0,0,0,1,0,2,0,0,4,0,0,0,0,1,1,0.063,0.063,0.167,0.23,,,,,,38,
